N	2gram	Vygotskiy__1	Dialekti
1	не есть	3	47
2	т е	3	30
3	и не	16	30
4	может быть	22	20
5	и в	31	19
6	не только	13	19
7	по себе	9	18
8	и т	26	17
9	а не	13	16
10	т д	8	15
11	в себе	4	15
12	то что	32	14
13	что она	6	14
14	и даже	6	14
15	в том	30	14
16	как бы	5	14
17	так как	18	14
18	потому что	10	14
19	вовсе не	6	13
20	но и	2	12
21	то же	5	12
22	точки зрения	15	12
23	и все	5	12
24	что это	6	10
25	ни в	9	10
26	как и	16	10
27	и как	2	10
28	в нем	2	10
29	так и	3	10
30	том что	16	10
31	сказать что	7	10
32	стало быть	2	10
33	никогда не	8	9
34	не может	17	9
35	прежде всего	4	8
36	она не	5	8
37	есть нечто	2	8
38	с точки	2	8
39	не в	11	8
40	это есть	5	8
41	в этом	12	8
42	в своей	3	8
43	сама по	2	7
44	есть не	2	7
45	как это	4	7
46	но это	3	7
47	но что	2	7
48	и к	3	7
49	совершенно не	5	7
50	что в	23	7
51	только тогда	7	7
52	время как	5	7
53	и то	2	7
54	как будто	5	7
55	в поэзии	2	7
56	так что	5	7
57	что он	7	6
58	что они	2	6
59	отнюдь не	6	6
60	в то	5	6
61	но не	3	6
62	того что	10	6
63	и может	2	6
64	жизни и	3	6
65	тогда когда	5	6
66	должна быть	3	5
67	с другой	5	5
68	есть ли	2	5
69	в силу	3	5
70	в самом	11	5
71	и следовательно	2	5
72	и потому	2	5
73	что и	13	5
74	и это	3	5
75	как раз	2	5
76	и что	8	5
77	только что	2	5
78	и его	7	5
79	но как	2	5
80	только в	14	5
81	о том	7	5
82	не то	2	5
83	и с	2	5
84	в виду	4	5
85	уже в	3	4
86	или иное	2	4
87	нет никакой	3	4
88	независимо от	2	4
89	и есть	5	4
90	в своем	3	4
91	ясно что	19	4
92	та же	3	4
93	в одном	2	4
94	не могут	3	4
95	быть в	2	4
96	в ее	5	4
97	все же	5	4
98	при этом	19	4
99	то время	5	4
100	и если	4	4
101	к нему	2	4
102	он не	3	4
103	только то	2	4
104	от того	3	4
105	без всякого	2	4
106	все это	8	4
107	другой стороны	5	4
108	в связи	2	4
109	и только	3	4
110	таким образом	20	4
111	что оно	3	4
112	и вот	3	4
113	заключается в	7	4
114	самом деле	9	4
115	и по	3	4
116	есть только	2	4
117	то или	2	4
118	а в	6	4
119	в таком	3	4
120	в одной	3	4
121	одно из	2	4
122	могут быть	11	4
123	в каком	2	4
124	и когда	3	4
125	как он	2	4
126	с ним	2	4
127	поэзии и	2	4
128	не менее	2	3
129	же как	4	3
130	о чем	2	3
131	все время	4	3
132	можно ли	2	3
133	в этих	4	3
134	и от	2	3
135	как они	2	3
136	вопрос о	3	3
137	а только	2	3
138	оно есть	2	3
139	как мы	2	3
140	но только	3	3
141	уже не	2	3
142	это и	3	3
143	в этой	3	3
144	было бы	6	3
145	у меня	3	3
146	себе не	3	3
147	даже в	2	3
148	из них	2	3
149	искусство и	4	3
150	и их	2	3
151	и тогда	2	3
152	с этим	3	3
153	что всякая	2	3
154	не было	3	3
155	мы имеем	4	3
156	во внимание	2	3
157	должны быть	3	3
158	что такое	2	3
159	нуждается в	3	3
160	это только	2	3
161	будто бы	2	3
162	его в	2	3
163	таком случае	2	3
164	или как	2	3
165	когда мы	3	3
166	в чем	2	3
167	ничего не	2	3
168	если она	2	2
169	что же	2	2
170	само по	5	2
171	уже и	2	2
172	только не	3	2
173	в частности	3	2
174	в зависимости	5	2
175	что у	3	2
176	в какой	5	2
177	в состоянии	3	2
178	у пушкина	3	2
179	в конце	3	2
180	человека и	2	2
181	на самом	2	2
182	но мы	3	2
183	не быть	2	2
184	если мы	12	2
185	к тому	4	2
186	что на	3	2
187	тем не	2	2
188	мы видим	5	2
189	что я	4	2
190	зависимости от	6	2
191	не будет	3	2
192	с тем	3	2
193	или менее	2	2
194	очевидно что	6	2
195	тем или	2	2
196	это мы	2	2
197	что с	2	2
198	до сих	3	2
199	или иным	2	2
200	в сущности	10	2
201	несмотря на	5	2
202	в искусстве	4	2
203	всяком случае	6	2
204	сих пор	3	2
205	в каждом	3	2
206	разница между	3	2
207	тому что	4	2
208	так же	12	2
209	что есть	2	2
210	т п	16	2
211	например в	3	2
212	в голове	2	2
213	с одной	5	2
214	как в	9	2
215	это все	3	2
216	а потому	3	2
217	тех или	2	2
218	более или	2	2
219	в науке	2	2
220	тем же	3	2
221	его не	2	2
222	бы и	2	2
223	в своих	4	2
224	и совершенно	5	2
225	как нельзя	4	2
226	в результате	4	2
227	их в	2	2
228	бы ни	2	2
229	между тем	4	2
230	только о	2	2
231	когда оно	2	2
232	мы получаем	2	2
233	что здесь	2	2
234	или не	2	2
235	что мы	8	2
236	же самое	2	2
237	во всяком	8	2
238	что эти	3	2
239	есть в	7	2
240	в которой	4	2
241	в области	11	2
242	что по	3	2
243	но в	3	2
244	в жизни	2	2
245	вместе с	8	2
