N	3gram	Vygotskiy__6	Problema
1	в этом случае	2	7
2	то что мы	2	7
3	и то что	2	7
4	в этом смысле	2	5
5	то же самое	6	5
6	с другой стороны	2	5
7	в связи с	2	5
8	на то что	4	4
9	до сих пор	3	4
10	в том что	19	4
11	в значительной мере	2	3
12	можно сказать что	6	3
13	только то что	2	3
14	не может быть	2	3
15	в этой области	2	3
16	с самого начала	7	2
17	для того чтобы	8	2
18	когда мы говорим	2	2
19	друг к другу	3	2
20	можно было бы	5	2
21	не только не	2	2
22	и той же	3	2
23	одной и той	3	2
24	заключается в том	5	2
