N	2gram	Tiupa_Hudo_1	Marksizm
1	может быть	14	28
2	и в	19	19
3	как бы	9	19
4	и не	15	19
5	не может	7	18
6	точки зрения	10	17
7	то же	10	16
8	и его	12	16
9	в этом	11	15
10	таким образом	3	14
11	лишь в	4	14
12	не только	16	13
13	с точки	3	13
14	речи и	3	13
15	высказывания и	2	11
16	в нем	5	11
17	если бы	3	11
18	вовсе не	2	11
19	не в	7	10
20	в пределах	3	10
21	но и	10	10
22	том что	8	10
23	так и	11	10
24	и т.п	4	10
25	для него	4	9
26	при этом	13	9
27	в основе	4	9
28	как и	2	9
29	на почве	3	9
30	а не	9	9
31	слова в	2	8
32	отнюдь не	2	8
33	же время	5	8
34	не является	4	8
35	по отношению	9	8
36	в то	6	8
37	с его	6	8
38	отношению к	9	8
39	только в	5	8
40	никогда не	2	7
41	высказывания в	4	7
42	в том	18	7
43	его в	2	7
44	но в	7	7
45	и более	2	7
46	прежде всего	4	7
47	одна из	2	7
48	внутренней речи	14	7
49	и для	2	7
50	к тому	4	6
51	ни в	5	6
52	и как	3	6
53	в свою	3	6
54	того чтобы	2	6
55	в самом	5	6
56	между тем	4	6
57	во всех	3	6
58	слова и	2	6
59	быть и	2	6
60	если мы	2	6
61	для того	2	6
62	свою очередь	2	5
63	или иной	7	5
64	в контексте	3	5
65	к нему	3	5
66	в форме	4	5
67	в их	5	5
68	так же	2	5
69	и на	2	5
70	и того	2	5
71	того же	2	5
72	в его	9	5
73	этого слова	2	5
74	в той	3	5
75	в данном	4	5
76	отношении к	2	5
77	в душе	8	4
78	тому что	2	4
79	в отношении	3	4
80	это не	2	4
81	одного и	2	4
82	в формах	2	4
83	той или	4	4
84	то что	4	4
85	и тем	2	4
86	того что	4	4
87	сказать что	4	4
88	как раз	3	4
89	что он	3	4
90	для себя	2	4
91	в слове	3	4
92	и ее	3	4
93	в себе	9	4
94	и т.д	3	4
95	в этих	3	3
96	в какой	2	3
97	с другой	7	3
98	для понимания	2	3
99	как система	2	3
100	в этой	2	3
101	одной стороны	2	3
102	за пределы	2	3
103	значения и	2	3
104	в каком	2	3
105	а в	12	3
106	с одной	2	3
107	все эти	2	3
108	в другом	3	3
109	языка в	4	3
110	о том	2	3
111	не как	2	3
112	по себе	2	3
113	в ее	5	3
114	в качестве	24	3
115	одно и	3	3
116	еще не	3	3
117	одной из	2	3
118	он не	4	3
119	что и	2	3
120	не будет	2	3
121	в своей	5	3
122	в отличие	7	3
123	на основе	2	3
124	с другими	4	3
125	и то	4	3
126	могут быть	4	3
127	и это	2	3
128	речи а	2	3
129	отличие от	7	3
130	место в	4	2
131	делает его	2	2
132	что в	6	2
133	в нашем	2	2
134	не знает	3	2
135	в противном	2	2
136	более или	5	2
137	в узком	3	2
138	во внутренней	2	2
139	о чем	2	2
140	его внешней	8	2
141	в своем	2	2
142	отношения к	2	2
143	именно в	2	2
144	в системе	2	2
145	коем случае	2	2
146	форм высказывания	2	2
147	высказывания не	2	2
148	не следует	4	2
149	к его	2	2
150	но как	2	2
151	противном случае	2	2
152	одно слово	3	2
153	того или	3	2
154	то есть	18	2
155	в жизни	2	2
156	или иного	3	2
157	не с	2	2
158	в коем	2	2
159	но не	11	2
160	от своего	2	2
161	внутренней и	2	2
162	внутреннего мира	2	2
163	и о	3	2
164	и потому	2	2
165	и особенно	2	2
166	данном контексте	2	2
167	себя в	7	2
168	или менее	5	2
169	приводит к	5	2
170	не на	3	2
171	соединении с	2	2
172	а с	2	2
173	на языке	2	2
174	сводится к	7	2
175	между ними	4	2
176	без исключения	4	2
177	или в	2	2
178	слова как	5	2
179	далеко не	2	2
180	и внешней	3	2
181	принадлежит только	2	2
182	всех без	3	2
