N	2gram	Kanaev_Sov_1	Psycholo
1	в том	4	37
2	и в	7	32
3	и что	2	22
4	таким образом	11	21
5	что в	2	20
6	может быть	12	18
7	не может	17	17
8	точки зрения	12	17
9	что она	3	16
10	самом деле	2	16
11	при этом	3	13
12	то же	3	13
13	в этом	7	13
14	если мы	4	12
15	в самом	2	12
16	не только	4	12
17	так как	4	12
18	было бы	3	11
19	как и	6	10
20	и не	6	10
21	с точки	5	10
22	что все	2	9
23	что при	2	9
24	что это	2	8
25	не менее	2	8
26	не в	3	8
27	той же	2	8
28	ясно что	3	7
29	мы знаем	2	7
30	такой же	2	7
31	а не	3	7
32	все эти	5	7
33	в этой	3	6
34	тот же	2	6
35	и мы	3	6
36	как бы	4	6
37	же самое	2	6
38	отнюдь не	3	5
39	все это	3	5
40	и даже	2	5
41	тем не	2	4
42	а на	2	4
43	совершенно не	2	4
44	и по	2	4
45	в нем	3	4
46	все же	3	4
47	при таком	3	4
48	из них	4	4
49	жизни и	4	4
50	а в	4	4
51	и все	3	4
52	мы видим	2	4
53	знаем что	2	4
54	могут быть	2	4
55	с этим	2	4
56	в целом	4	4
57	если же	2	4
58	ничего не	6	4
59	не могут	2	3
60	в конце	3	3
61	абсолютной величины	2	3
62	и к	3	3
63	в свою	2	3
64	же мы	2	3
65	что же	5	3
66	на этом	2	3
67	еще более	2	3
68	он в	3	3
69	мы должны	4	3
70	или же	2	3
71	но в	3	3
72	мы не	9	3
73	мы можем	6	3
74	этих двух	2	2
75	мы получим	3	2
76	то ни	2	2
77	это не	4	2
78	в одном	3	2
79	в каждом	8	2
80	во всяком	2	2
81	свою очередь	2	2
82	еще не	3	2
83	из которых	2	2
84	на его	2	2
85	в его	2	2
86	всяком случае	2	2
87	все те	2	2
88	как он	3	2
89	для нас	3	2
90	вместе с	4	2
91	значение в	2	2
92	отличается от	3	2
93	у всех	3	2
94	роль в	2	2
95	форма в	2	2
96	на этот	2	2
97	отличие от	2	2
98	в таком	2	2
99	их в	4	2
100	мы получаем	3	2
101	в себе	3	2
102	такие же	2	2
103	состоит из	3	2
104	когда мы	3	2
105	в которой	2	2
