N	2gram	Bakhtin_Pr_2	Myshleni
1	в том	8	33
2	том что	7	27
3	точки зрения	19	26
4	в развитии	2	26
5	то что	5	20
6	в этом	20	19
7	с точки	9	18
8	того что	3	17
9	и в	45	15
10	не только	16	15
11	что в	6	14
12	таким образом	11	14
13	что он	7	12
14	и т.д	3	12
15	в самом	13	11
16	в процессе	2	11
17	в целом	5	10
18	но и	15	10
19	было бы	4	10
20	мы можем	4	10
21	в своем	5	9
22	может быть	18	9
23	не является	3	9
24	не может	24	9
25	о том	3	9
26	в сущности	7	9
27	так и	3	8
28	к действительности	2	8
29	никогда не	17	8
30	не в	8	8
31	и что	2	8
32	если бы	2	8
33	и не	42	7
34	на основе	2	7
35	потому что	8	7
36	как бы	15	7
37	по себе	8	7
38	тот же	2	7
39	он не	9	7
40	и т.п	6	7
41	точку зрения	5	6
42	как мы	8	6
43	мы уже	3	6
44	в виду	2	6
45	на то	2	6
46	мы видели	3	6
47	по отношению	8	6
48	сказать что	5	6
49	в истории	2	6
50	мы должны	4	6
51	как он	4	6
52	как это	2	6
53	но в	6	6
54	в зависимости	3	6
55	вовсе не	7	6
56	и к	2	6
57	как и	14	6
58	зависимости от	3	6
59	самом деле	4	6
60	что эта	2	6
61	там где	6	6
62	это не	3	5
63	уже в	4	5
64	представление о	2	5
65	и др	4	5
66	и их	6	5
67	и даже	3	5
68	друг друга	7	5
69	сравнению с	2	5
70	все что	3	5
71	отношению к	8	5
72	по сравнению	2	5
73	показать что	2	5
74	то же	5	5
75	можно было	2	5
76	этот вопрос	4	5
77	прежде всего	11	4
78	что все	3	4
79	от его	2	4
80	мы старались	2	4
81	все это	5	4
82	в них	4	4
83	не имеет	3	4
84	так же	5	4
85	а в	3	4
86	их в	7	4
87	и с	7	4
88	в начале	2	4
89	так как	5	4
90	с его	8	4
91	к этому	4	4
92	все же	4	4
93	со всей	2	4
94	мы видим	2	4
95	в своей	6	4
96	даже в	6	4
97	как в	4	4
98	как раз	6	4
99	того как	3	4
100	а с	3	4
101	хотя бы	5	4
102	и его	8	4
103	значение для	3	4
104	только в	9	4
105	в которой	2	4
106	том числе	2	3
107	только для	2	3
108	он сам	6	3
109	все время	3	3
110	но на	2	3
111	для этого	3	3
112	что у	4	3
113	человека и	2	3
114	числе и	2	3
115	об этом	3	3
116	что они	3	3
117	и сам	3	3
118	для него	9	3
119	при этом	2	3
120	смысле этого	2	3
121	точка зрения	7	3
122	из них	9	3
123	и до	4	3
124	со стороны	4	3
125	что для	2	3
126	этом отношении	2	3
127	все эти	4	3
128	те же	2	3
129	о мире	5	3
130	в самой	3	3
131	они не	2	3
132	лишь в	2	3
133	и по	2	3
134	с другими	7	3
135	в результате	3	3
136	в основе	2	3
137	к этой	2	3
138	с ним	8	3
139	мы имеем	2	3
140	ничем не	2	3
141	здесь и	2	3
142	и особенно	2	3
143	лежит в	2	3
144	таким же	2	3
145	идет о	2	3
146	уже говорили	2	3
147	но не	6	3
148	одной из	2	3
149	он говорит	2	3
150	для себя	3	3
151	бы и	3	3
152	что она	4	3
153	только что	2	3
154	тем самым	2	3
155	а не	10	3
156	из которых	2	3
157	вот почему	3	3
158	или в	2	3
159	и ее	7	3
160	этого слова	2	3
161	ничего не	3	3
162	за собой	2	2
163	сама по	5	2
164	же как	4	2
165	что если	3	2
166	в этих	4	2
167	перед нами	4	2
168	или иной	3	2
169	можно сказать	2	2
170	протяжении всего	2	2
171	ни в	2	2
172	и как	2	2
173	своей жизни	3	2
174	но все	4	2
175	и более	2	2
176	как у	2	2
177	и идеи	5	2
178	друг с	2	2
179	и той	3	2
180	той или	3	2
181	в котором	7	2
182	его с	2	2
183	с ее	3	2
184	находиться в	2	2
185	он как	3	2
186	могут быть	4	2
187	в некоторых	2	2
188	от того	2	2
189	в их	4	2
190	и других	3	2
191	которую мы	2	2
192	должно быть	4	2
193	во все	2	2
194	но ведь	3	2
195	в одном	6	2
196	все те	2	2
197	у него	6	2
198	были бы	2	2
199	этом смысле	5	2
200	связь с	2	2
201	именно в	3	2
202	стадии своего	2	2
203	подход к	2	2
204	друг от	2	2
205	он прежде	2	2
206	с их	4	2
207	от друга	2	2
208	за пределы	5	2
209	в его	22	2
210	нет и	3	2
211	что и	5	2
212	ее в	2	2
213	во всех	4	2
214	находится в	2	2
215	что же	4	2
216	и для	2	2
217	но с	3	2
218	и эта	3	2
219	тому как	2	2
220	тем что	2	2
221	само по	2	2
222	подобно тому	2	2
223	в себе	5	2
224	на протяжении	3	2
225	с другом	2	2
226	не потому	2	2
227	стало быть	3	2
