N	2gram	Tiupa_Anal_2	Dialekti
1	не есть	2	47
2	т е	2	30
3	и не	12	30
4	может быть	6	20
5	и в	16	19
6	не только	16	19
7	по себе	2	18
8	а не	10	16
9	в себе	7	15
10	то что	7	14
11	что она	2	14
12	и даже	9	14
13	в том	12	14
14	как бы	10	14
15	вовсе не	2	13
16	но и	12	12
17	то же	4	12
18	точки зрения	4	12
19	и все	3	12
20	как и	14	10
21	так и	15	10
22	том что	12	10
23	сказать что	2	10
24	стало быть	2	10
25	никогда не	3	9
26	по крайней	3	9
27	крайней мере	3	9
28	не может	4	9
29	прежде всего	3	8
30	она не	2	8
31	с точки	2	8
32	не в	4	8
33	в этом	18	8
34	в своей	2	8
35	как это	6	7
36	и к	5	7
37	что в	2	7
38	и то	3	7
39	как будто	3	7
40	в поэзии	2	7
41	так что	3	7
42	отнюдь не	8	6
43	в то	2	6
44	но не	4	6
45	того что	2	6
46	личности и	2	6
47	с другой	6	5
48	в одну	2	5
49	же время	2	5
50	можно сказать	4	5
51	в самом	6	5
52	что и	3	5
53	как раз	4	5
54	и его	4	5
55	говорить о	6	5
56	только в	4	5
57	о том	7	5
58	содержит в	3	4
59	в своем	4	4
60	в одном	2	4
61	при этом	10	4
62	еще не	2	4
63	и если	3	4
64	за пределы	4	4
65	той или	3	4
66	он не	2	4
67	ни с	2	4
68	все это	4	4
69	во времени	2	4
70	другой стороны	2	4
71	таким образом	2	4
72	а в	3	4
73	в таком	2	4
74	одно из	2	4
75	могут быть	10	4
76	с ним	2	4
77	не менее	4	3
78	о чем	2	3
79	в этих	2	3
80	была бы	2	3
81	ведь это	2	3
82	как мы	3	3
83	уже не	4	3
84	в этой	9	3
85	было бы	3	3
86	себе не	2	3
87	даже в	2	3
88	из них	3	3
89	и их	2	3
90	грань между	2	3
91	мы имеем	3	3
92	или точнее	2	3
93	в данном	8	3
94	это только	2	3
95	в один	4	3
96	его в	2	3
97	таком случае	2	3
98	ничего не	9	3
99	же не	2	3
100	это было	2	3
101	в противоположность	2	2
102	уже и	2	2
103	только не	4	2
104	в частности	16	2
105	в состоянии	2	2
106	в конце	4	2
107	не знаю	2	2
108	именно в	3	2
109	к тому	7	2
110	что на	3	2
111	тем не	3	2
112	что с	2	2
113	миф и	2	2
114	в общем	2	2
115	на его	3	2
116	ни о	3	2
117	в сущности	4	2
118	несмотря на	3	2
119	себя в	2	2
120	в мире	6	2
121	и я	2	2
122	во всех	4	2
123	на него	2	2
124	дело не	2	2
125	данном случае	5	2
126	в их	3	2
127	так же	2	2
128	собственно говоря	2	2
129	личность в	2	2
130	с ее	2	2
131	с одной	5	2
132	как в	4	2
133	того и	2	2
134	тех или	2	2
135	времени в	4	2
136	или в	3	2
137	с ними	3	2
138	в результате	3	2
139	между тем	2	2
140	тем что	3	2
141	того или	3	2
142	есть в	3	2
143	но в	6	2
144	я и	3	2
145	вместе с	2	2
146	на этом	4	2
