N	2gram	Berdyaev_M_1	Freidism
1	и не	11	23
2	не может	28	20
3	точки зрения	4	19
4	прежде всего	10	18
5	в этом	20	15
6	в его	9	15
7	это –	16	14
8	может быть	30	13
9	и его	9	12
10	как и	5	11
11	как бы	2	11
12	то что	5	11
13	все эти	2	11
14	и потому	10	10
15	его в	3	10
16	с ним	2	10
17	но в	7	10
18	с его	3	9
19	и в	28	9
20	по отношению	2	9
21	все что	2	8
22	что он	10	8
23	отношению к	2	8
24	в своей	15	8
25	он не	24	8
26	не только	29	8
27	все это	6	8
28	только в	6	8
29	и все	10	8
30	так как	3	8
31	к нему	7	7
32	один из	4	7
33	отношение к	4	7
34	в самом	11	7
35	– не	5	7
36	сказать что	2	7
37	никогда не	14	6
38	для него	11	6
39	за пределы	4	6
40	того что	7	6
41	в ней	15	6
42	хотя бы	3	6
43	– все	3	6
44	и с	3	6
45	на протяжении	2	6
46	и к	2	5
47	он сам	6	5
48	в свою	2	5
49	не в	16	5
50	в этой	6	5
51	в то	2	5
52	что в	10	5
53	но и	25	5
54	для того	2	5
55	а в	4	5
56	и на	6	5
57	могут быть	2	5
58	с этим	3	5
59	в каком	2	5
60	но не	8	4
61	в котором	8	4
62	человека –	2	4
63	в этих	4	4
64	в жизни	3	4
65	к тому	3	4
66	на этом	3	4
67	смысле слова	4	4
68	конечно не	3	4
69	в основе	2	4
70	в нем	13	4
71	все же	2	4
72	не было	18	4
73	– один	3	4
74	уже не	4	4
75	того чтобы	2	4
76	и для	2	4
77	в которой	6	4
78	с их	2	4
79	потому что	16	4
80	в более	2	4
81	себя и	3	4
82	в мир	3	4
83	не могут	5	3
84	если бы	2	3
85	и есть	14	3
86	в них	4	3
87	и от	2	3
88	о себе	3	3
89	в себе	7	3
90	он был	14	3
91	и как	2	3
92	человека к	2	3
93	учение о	3	3
94	по своему	2	3
95	она не	4	3
96	было бы	10	3
97	и она	2	3
98	себя в	3	3
99	жизни и	2	3
100	когда он	3	3
101	вместе с	6	3
102	этот процесс	3	3
103	приводит к	2	3
104	тому чтобы	2	3
105	и те	2	3
106	не знает	4	3
107	как в	2	3
108	мысли и	2	3
109	и вот	3	3
110	и что	2	3
111	на этот	2	3
112	и по	4	3
113	у него	17	3
114	человека с	2	3
115	человека и	14	3
116	он хотел	2	3
117	есть и	3	2
118	уже в	4	2
119	человека в	13	2
120	– к	3	2
121	человека на	5	2
122	это не	5	2
123	в конце	7	2
124	к этому	2	2
125	человек не	10	2
126	– говорит	3	2
127	для нас	3	2
128	в ее	3	2
129	до конца	14	2
130	это и	4	2
131	том что	3	2
132	самого себя	2	2
133	высшей степени	2	2
134	не существует	2	2
135	а не	25	2
136	всю жизнь	4	2
137	не остается	2	2
138	связано с	2	2
139	он –	12	2
140	душевной жизни	2	2
141	так называемый	2	2
142	но если	3	2
143	конце концов	2	2
144	о нем	2	2
145	относится к	2	2
146	в него	3	2
147	в своем	10	2
148	себе и	2	2
149	в этот	2	2
150	в свой	2	2
151	влечет к	3	2
152	сих пор	2	2
153	в их	4	2
154	отличается от	2	2
155	отношения к	4	2
156	человека как	2	2
157	чтобы не	2	2
158	и у	2	2
159	в высшей	2	2
160	к этим	2	2
161	мы видим	2	2
162	когда человек	3	2
163	мир в	3	2
164	от этого	2	2
165	что и	4	2
166	до сих	2	2
167	в глубине	8	2
168	когда мы	2	2
169	в момент	3	2
170	в виду	2	2
