N	2gram	Potebnia_M_2	Literetu
1	а не	18	20
2	и в	24	19
3	может быть	23	17
4	то же	12	12
5	и не	19	11
6	в том	18	10
7	как и	7	10
8	но и	9	10
9	состоит в	2	9
10	же время	2	9
11	не может	12	9
12	тогда как	10	9
13	в этом	8	9
14	в то	6	9
15	с другой	6	8
16	не только	15	8
17	том что	8	7
18	то что	20	7
19	так и	5	7
20	с одной	4	7
21	слова и	3	7
22	не менее	5	6
23	в себе	10	6
24	одной стороны	3	6
25	при этом	13	6
26	и на	8	6
27	столь же	5	5
28	у нас	2	5
29	одна из	4	5
30	но не	12	5
31	вместе с	11	5
32	так в	4	5
33	того что	7	5
34	то есть	30	5
35	что в	16	4
36	прежде всего	7	4
37	не в	13	4
38	того же	14	4
39	но тем	3	4
40	для него	10	4
41	в ней	3	4
42	в его	2	4
43	один из	2	4
44	и других	2	4
45	человека в	3	4
46	так что	10	4
47	другой стороны	2	4
48	мы не	11	4
49	по отношению	2	4
50	тем что	7	4
51	перестает быть	2	3
52	никогда не	4	3
53	быть может	7	3
54	в себя	2	3
55	что он	4	3
56	в нем	9	3
57	и как	6	3
58	но это	3	3
59	такой же	4	3
60	во всех	7	3
61	не знали	2	3
62	не с	3	3
63	со стороны	3	3
64	то и	9	3
65	и для	3	3
66	так как	10	3
67	тем самым	4	3
68	тем же	3	3
69	от слова	3	3
70	как на	3	3
71	а в	8	3
72	и его	2	3
73	и то	3	3
74	не столько	2	3
75	в другом	2	3
76	в разговоре	2	3
77	на этом	2	2
78	уже в	5	2
79	не было	6	2
80	ни было	3	2
81	с тем	4	2
82	у него	2	2
83	себя и	2	2
84	в нашем	2	2
85	в них	5	2
86	в какой	2	2
87	по крайней	5	2
88	в одном	6	2
89	в жизни	2	2
90	в каждом	2	2
91	вовсе не	9	2
92	о которой	3	2
93	крайней мере	5	2
94	для нас	31	2
95	тем не	6	2
96	очевидно что	3	2
97	все что	3	2
98	одно и	2	2
99	тот же	5	2
100	еще не	4	2
101	было бы	13	2
102	не так	3	2
103	как бы	9	2
104	если в	3	2
105	себе не	4	2
106	что и	11	2
107	как он	4	2
108	все же	5	2
109	и т	6	2
110	же в	5	2
111	в целом	3	2
112	из них	5	2
113	могут быть	8	2
114	т п	3	2
115	и только	6	2
116	быть не	3	2
117	той же	3	2
118	а потому	5	2
119	но только	2	2
120	уже не	4	2
121	и что	4	2
122	для того	5	2
123	что не	5	2
124	хотя бы	2	2
125	в сравнении	2	2
126	друг друга	2	2
127	а к	2	2
128	сравнении с	2	2
129	потому что	49	2
130	одно из	3	2
131	даже и	2	2
132	подобно тому	4	2
133	о том	5	2
134	тому как	4	2
135	для кого	2	2
136	как это	2	2
137	с ним	5	2
138	но в	4	2
139	одном из	4	2
