N	2gram	Voloshinov_1	EvropaiE
1	и в	13	37
2	в отношении	2	32
3	в пределах	3	25
4	точки зрения	7	23
5	что в	3	21
6	не только	6	18
7	с точки	5	17
8	хотя бы	5	15
9	то же	4	15
10	но и	3	14
11	и не	8	14
12	но в	4	14
13	в этом	2	12
14	в их	3	11
15	в том	2	11
16	в области	2	11
17	так и	3	10
18	прежде всего	9	9
19	не может	8	9
20	в себе	3	9
21	только в	6	9
22	так же	2	9
23	думать что	2	8
24	к тому	2	8
25	в ее	3	8
26	одной стороны	2	8
27	было бы	4	8
28	в своей	4	8
29	с одной	2	8
30	между тем	2	8
31	как и	3	7
32	а также	2	7
33	с другой	2	7
34	так как	3	7
35	с этой	2	6
36	вовсе не	2	6
37	том что	2	6
38	может быть	8	6
39	вслед за	2	6
40	как бы	6	6
41	то что	6	6
42	не в	3	5
43	в течение	2	5
44	от этого	2	5
45	или иного	2	4
46	несмотря на	2	4
47	в самом	2	4
48	в ней	2	4
49	в процессе	5	4
50	не на	2	4
51	мы не	4	4
52	не имеет	2	4
53	того или	2	4
54	и к	2	3
55	никогда не	3	3
56	в них	2	3
57	в общем	2	3
58	мы можем	4	3
59	не является	4	3
60	и тем	2	3
61	ее в	2	3
62	как в	2	3
63	и для	3	3
64	тем что	2	3
65	в данном	2	3
66	там где	2	3
67	и наиболее	2	2
68	а не	2	2
69	с этим	3	2
70	и все	3	2
71	в одном	3	2
72	есть не	2	2
73	и эта	5	2
74	отношений между	2	2
75	кажется что	2	2
76	имеет место	2	2
77	на язык	2	2
78	в его	7	2
79	мог бы	2	2
80	и этот	2	2
81	и отчасти	2	2
82	данном случае	2	2
83	во всей	2	2
84	что же	3	2
85	а в	2	2
86	таким образом	6	2
87	если бы	2	2
88	и наконец	5	2
89	другой стороны	2	2
90	мы видим	2	2
91	в своих	2	2
92	могут быть	2	2
93	г по	2	2
94	и то	3	2
95	мы должны	6	2
96	его на	2	2
97	бы в	2	2
