N	2gram	Medvedev_V_1	Morfolog
1	может быть	22	52
2	и т	23	49
3	т д	14	47
4	таким образом	31	20
5	не может	17	17
6	т е	18	16
7	могут быть	5	15
8	с этим	3	14
9	и в	26	13
10	в этом	26	13
11	действующих лиц	5	13
12	и др	9	12
13	перед нами	4	11
14	связи с	4	11
15	прежде всего	13	9
16	так и	5	9
17	в связи	3	9
18	то же	10	9
19	и не	19	9
20	а не	7	9
21	мы имеем	3	9
22	с другой	11	8
23	а затем	2	8
24	по существу	3	8
25	что и	3	8
26	при помощи	3	8
27	в результате	5	8
28	представляет собою	11	7
29	в качестве	11	7
30	все же	5	7
31	это не	7	6
32	не могут	7	6
33	в том	15	6
34	но не	2	6
35	в форме	3	6
36	а в	3	6
37	во время	3	6
38	подобно тому	2	6
39	не менее	2	5
40	тому как	2	5
41	в образе	2	5
42	вслед за	2	5
43	во всех	6	5
44	далеко не	2	5
45	как бы	5	5
46	один из	5	5
47	то что	6	5
48	или в	3	5
49	что в	10	4
50	и как	3	4
51	вовсе не	3	4
52	об этом	9	4
53	что его	2	4
54	отношению к	7	4
55	было бы	7	4
56	ни одна	2	4
57	не только	25	4
58	то это	2	4
59	другой стороны	8	4
60	так же	3	4
61	по отношению	7	4
62	три года	2	4
63	как и	7	4
64	следующим образом	3	4
65	хотя и	2	4
66	точки зрения	3	4
67	также и	2	4
68	его в	3	4
69	если в	2	4
70	только что	4	3
71	связана с	2	3
72	если бы	3	3
73	в последнем	2	3
74	же в	6	3
75	том что	8	3
76	что они	3	3
77	в целом	4	3
78	в пределах	5	3
79	того чтобы	3	3
80	он не	2	3
81	не является	5	3
82	но и	10	3
83	от того	2	3
84	из которых	2	3
85	и по	3	3
86	и для	2	3
87	из них	9	3
88	и ее	4	3
89	в то	6	3
90	получает в	2	3
91	из приведенных	3	3
92	но в	2	3
93	значит что	2	3
94	что ни	2	2
95	с тем	3	2
96	в частности	11	2
97	хотя бы	19	2
98	к этому	9	2
99	что он	4	2
100	утверждать что	4	2
101	в различных	2	2
102	можно сказать	4	2
103	так например	2	2
104	и к	3	2
105	можно указать	2	2
106	из его	3	2
107	и при	5	2
108	только в	7	2
109	смысле слова	2	2
110	момент в	3	2
111	для него	8	2
112	одной стороны	2	2
113	во сне	21	2
114	но для	2	2
115	или менее	6	2
116	может не	2	2
117	как например	2	2
118	с одной	2	2
119	все эти	6	2
120	того что	3	2
121	для того	3	2
122	что такое	2	2
123	представляют собою	2	2
124	и его	6	2
125	можно было	2	2
126	этот вопрос	3	2
127	в другом	2	2
128	самого себя	2	2
129	что мы	2	2
130	о том	10	2
131	одна из	4	2
132	сказать что	5	2
133	как это	12	2
134	более или	6	2
135	что многие	2	2
