N	2gram	Medvedev_V_1	Dialekti
1	т е	18	30
2	и не	19	30
3	может быть	22	20
4	и в	26	19
5	не только	25	19
6	по себе	2	18
7	и т	23	17
8	а не	7	16
9	т д	14	15
10	в себе	6	15
11	то что	6	14
12	что она	2	14
13	и даже	2	14
14	в том	15	14
15	как бы	5	14
16	вовсе не	3	13
17	но и	10	12
18	то же	10	12
19	значит что	2	12
20	точки зрения	3	12
21	как и	7	10
22	и как	3	10
23	в нем	6	10
24	так и	5	10
25	том что	8	10
26	это не	7	10
27	сказать что	5	10
28	никогда не	4	9
29	по крайней	2	9
30	крайней мере	2	9
31	не может	17	9
32	же и	2	9
33	прежде всего	13	8
34	она не	3	8
35	не в	6	8
36	в этом	26	8
37	в своей	4	8
38	как это	12	7
39	и к	3	7
40	что в	10	7
41	должно быть	2	7
42	что он	4	6
43	что не	3	6
44	что они	3	6
45	отнюдь не	3	6
46	в то	6	6
47	но не	2	6
48	того что	3	6
49	и может	2	6
50	жизни и	3	6
51	чтобы не	2	6
52	тогда когда	2	6
53	с другой	11	5
54	же время	5	5
55	в силу	11	5
56	можно сказать	4	5
57	в самом	4	5
58	и потому	2	5
59	что и	3	5
60	как раз	3	5
61	только что	4	5
62	и его	6	5
63	но как	3	5
64	говорить о	2	5
65	только в	7	5
66	о том	10	5
67	в виду	4	5
68	может не	2	4
69	и есть	5	4
70	в своем	8	4
71	в одном	4	4
72	не могут	7	4
73	в ее	4	4
74	все же	5	4
75	еще не	2	4
76	он не	2	4
77	хотя бы	19	4
78	связи с	4	4
79	только то	2	4
80	от того	2	4
81	все это	10	4
82	другой стороны	8	4
83	в связи	3	4
84	таким образом	31	4
85	что оно	3	4
86	заключается в	2	4
87	и по	3	4
88	а в	3	4
89	могут быть	5	4
90	в другом	2	4
91	как он	2	4
92	по одному	2	4
93	не менее	2	3
94	всех этих	2	3
95	же как	2	3
96	е в	2	3
97	о чем	2	3
98	можно ли	2	3
99	и от	3	3
100	с нею	2	3
101	об этом	9	3
102	это и	6	3
103	в этой	4	3
104	было бы	7	3
105	эти вопросы	2	3
106	в целях	2	3
107	себе и	2	3
108	даже в	5	3
109	из них	9	3
110	и их	3	3
111	с этим	3	3
112	не было	7	3
113	мы имеем	3	3
114	должны быть	2	3
115	что такое	2	3
116	после этого	2	3
117	между собою	2	3
118	понимать как	2	3
119	они не	2	3
120	это только	4	3
121	будто бы	2	3
122	его в	3	3
123	в чем	2	3
124	нет ни	2	3
125	все его	2	3
126	связана с	2	2
127	в противоположность	3	2
128	зависит от	2	2
129	только не	2	2
130	в частности	11	2
131	в зависимости	6	2
132	что у	2	2
133	перед нами	4	2
134	у пушкина	2	2
135	в конце	3	2
136	человека и	3	2
137	в системе	2	2
138	и образы	3	2
139	момент в	3	2
140	именно в	2	2
141	он может	2	2
142	не быть	2	2
143	то это	2	2
144	к тому	4	2
145	же в	6	2
146	зависимости от	5	2
147	с тем	3	2
148	или менее	6	2
149	очевидно что	7	2
150	как известно	2	2
151	это мы	3	2
152	в общем	2	2
153	в искусстве	6	2
154	не по	2	2
155	в ней	2	2
156	в сфере	2	2
157	если в	2	2
158	во всех	6	2
159	ее в	4	2
160	в каждом	2	2
161	в их	5	2
162	тому что	6	2
163	так же	3	2
164	т п	9	2
165	например в	3	2
166	с одной	2	2
167	более или	6	2
168	в науке	2	2
169	его не	3	2
170	бы и	6	2
171	также что	2	2
172	или в	3	2
173	с ними	4	2
174	в своих	2	2
175	также и	2	2
176	в результате	5	2
177	их в	6	2
178	и при	5	2
179	между тем	5	2
180	только о	2	2
181	во время	3	2
182	что мы	2	2
183	же самое	2	2
184	того или	2	2
185	явлений и	3	2
186	все эти	6	2
187	к сожалению	2	2
188	иметь в	2	2
189	в которой	2	2
190	в области	2	2
191	говорил что	2	2
192	но в	2	2
193	в жизни	2	2
194	том как	3	2
195	вместе с	7	2
