N	2gram	Voloshinov_1	Sovremen
1	не может	24	17
2	точки зрения	34	12
3	может быть	26	12
4	таким образом	17	11
5	мы не	6	9
6	в каждом	7	8
7	в этом	16	7
8	и в	19	7
9	и не	26	6
10	как и	12	6
11	в результате	9	6
12	мы можем	2	6
13	ничего не	6	6
14	что же	4	5
15	прежде всего	13	5
16	все эти	7	5
17	с точки	20	5
18	организма с	2	5
19	в условиях	4	5
20	как бы	15	4
21	нет и	4	4
22	если мы	11	4
23	жизни и	2	4
24	а в	4	4
25	вопрос о	4	4
26	не только	8	4
27	с помощью	6	4
28	в том	6	4
29	в дальнейшем	3	4
30	из них	3	4
31	точку зрения	2	4
32	мы должны	3	4
33	зависимости от	2	4
34	так как	2	4
35	самого начала	4	3
36	все же	8	3
37	на этой	2	3
38	отнюдь не	6	3
39	он может	3	3
40	между собой	2	3
41	все это	3	3
42	в конце	5	3
43	то же	7	3
44	ясно что	5	3
45	в нем	10	3
46	а не	7	3
47	и к	3	3
48	у нас	2	3
49	с самого	4	3
50	не в	5	3
51	одна из	2	3
52	еще не	4	3
53	при этом	8	3
54	было бы	4	3
55	и т.д	2	3
56	и все	5	3
57	как он	2	3
58	в первом	3	3
59	в себе	2	3
60	в области	3	3
61	но в	7	3
62	и потому	5	3
63	так сказать	6	2
64	совершенно не	3	2
65	в настоящее	6	2
66	не могут	3	2
67	не менее	4	2
68	и есть	3	2
69	не будем	4	2
70	быть и	3	2
71	в нашем	2	2
72	и во	2	2
73	в отличие	5	2
74	из этих	2	2
75	что все	2	2
76	как мы	13	2
77	в свою	2	2
78	или иной	3	2
79	самом деле	10	2
80	и пр	12	2
81	из которых	2	2
82	что такое	2	2
83	на этот	3	2
84	и даже	2	2
85	самый вопрос	2	2
86	тем не	2	2
87	мы знаем	5	2
88	она может	3	2
89	той же	2	2
90	конечно в	2	2
91	то ни	8	2
92	в таком	2	2
93	но все	3	2
94	реальный момент	2	2
95	во всяком	5	2
96	свою очередь	2	2
97	могут быть	2	2
98	с этим	4	2
99	что в	4	2
100	не дает	3	2
101	настоящее время	6	2
102	тот же	4	2
103	же самое	3	2
104	в самом	10	2
105	в которой	3	2
106	отличие от	5	2
107	в науке	6	2
108	в его	6	2
109	всяком случае	2	2
