N	2gram	Savitsky_E_1	Vladivir
1	и в	37	40
2	то что	6	28
3	и не	14	25
4	не только	18	25
5	то есть	6	24
6	но и	14	18
7	в том	11	18
8	том что	6	18
9	что в	21	17
10	также и	7	17
11	в этом	12	16
12	в его	2	14
13	не может	9	14
14	точки зрения	23	13
15	вовсе не	6	13
16	в виде	5	13
17	только в	9	13
18	а именно	2	12
19	сказать что	4	12
20	никогда не	3	11
21	таким образом	2	11
22	потому что	3	11
23	о том	3	11
24	прежде всего	9	10
25	и потому	5	10
26	не есть	2	10
27	что это	2	9
28	и с	2	9
29	и то	2	9
30	в своей	8	9
31	что же	2	9
32	в себе	9	9
33	в своем	14	8
34	в этой	2	8
35	может быть	6	8
36	так же	9	8
37	и что	2	8
38	он не	2	8
39	а также	7	8
40	как мы	5	8
41	а не	2	8
42	что все	2	7
43	к тому	8	7
44	и как	2	7
45	несмотря на	4	7
46	и если	2	7
47	хотя и	2	7
48	а в	2	7
49	в своих	2	7
50	так как	7	7
51	с тем	3	7
52	того что	7	7
53	в то	16	7
54	что и	3	7
55	вместе с	2	7
56	как и	7	7
57	это значит	2	6
58	и даже	6	6
59	и на	6	6
60	и от	3	6
61	по себе	4	6
62	то в	4	6
63	в смысле	9	6
64	не будет	3	6
65	так и	10	6
66	хотя бы	15	6
67	с точки	17	6
68	можно считать	3	5
69	с другой	7	5
70	для нас	4	5
71	но если	5	5
72	в отношении	32	5
73	в ней	4	5
74	в истории	2	5
75	отнюдь не	9	5
76	в одном	2	5
77	между прочим	7	5
78	можно было	3	5
79	в данном	3	5
80	тем что	3	5
81	дело в	3	5
82	но даже	4	4
83	вопрос о	4	4
84	на то	6	4
85	и можно	2	4
86	такой же	2	4
87	что если	2	4
88	мог бы	2	4
89	в самом	4	4
90	в котором	2	4
91	не имеет	4	4
92	поскольку он	2	4
93	бы и	3	4
94	в результате	3	4
95	мы должны	2	4
96	при помощи	2	4
97	как это	4	4
98	и все	2	4
99	чем в	4	4
100	но не	5	4
101	было бы	8	4
102	даже в	4	4
103	говорит о	3	4
104	то же	15	4
105	в течение	5	4
106	в каком	4	4
107	но в	14	4
108	же как	5	3
109	независимо от	4	3
110	в качестве	14	3
111	то ни	4	3
112	одной стороны	8	3
113	как бы	6	3
114	всяком случае	3	3
115	и тут	2	3
116	и тем	3	3
117	к нему	2	3
118	мы видели	3	3
119	бы то	4	3
120	и только	3	3
121	с одной	8	3
122	именно в	4	3
123	как на	3	3
124	в россии	5	3
125	если бы	2	3
126	само по	4	3
127	этом смысле	3	3
128	же в	2	3
129	ее в	3	3
130	того чтобы	6	3
131	и эта	2	3
132	и притом	4	3
133	не в	5	3
134	и для	3	3
135	в таком	3	3
136	во всяком	3	3
137	которое в	2	3
138	далеко не	2	3
139	он сам	2	2
140	не могут	2	2
141	но на	3	2
142	должна быть	2	2
143	в сторону	2	2
144	можно ли	3	2
145	в этих	2	2
146	в какой	2	2
147	с этой	6	2
148	для понимания	2	2
149	что на	2	2
150	же время	14	2
151	не можем	2	2
152	и наконец	2	2
153	той или	4	2
154	не является	3	2
155	в их	11	2
156	другой стороны	2	2
157	и по	5	2
158	этом отношении	3	2
159	себе в	3	2
160	и еще	2	2
161	но как	2	2
162	по своей	2	2
163	ни на	3	2
164	бы в	2	2
165	то не	2	2
166	во многом	2	2
167	и этот	2	2
168	и более	2	2
169	с этим	2	2
170	стороны и	6	2
171	есть не	2	2
172	и к	3	2
173	при условии	2	2
174	на путях	4	2
175	в силу	2	2
176	того же	3	2
177	не к	2	2
178	не нужно	2	2
179	она не	2	2
180	из них	3	2
181	одной из	5	2
182	наряду с	2	2
183	но еще	2	2
184	по преимуществу	2	2
185	только к	2	2
186	со стороны	5	2
187	в мире	2	2
188	как не	2	2
189	данном случае	2	2
190	не на	4	2
191	но с	2	2
192	и сейчас	2	2
193	тем самым	5	2
194	заметить что	2	2
195	для того	6	2
196	и выше	7	2
197	мы не	4	2
198	а тем	2	2
199	можно думать	3	2
200	от этого	5	2
201	на себя	3	2
