N	2gram	Berdyaev_N_1	TeoriaLi
1	в мире	3	24
2	не только	5	18
3	и не	11	16
4	а в	2	14
5	и в	16	13
6	может быть	7	12
7	так и	2	12
8	в этом	7	11
9	в том	8	11
10	но не	2	10
11	а не	17	10
12	что в	9	8
13	такого рода	2	8
14	но и	3	8
15	себя в	2	7
16	в себе	2	7
17	том что	2	7
18	в то	2	7
19	как это	2	7
20	место в	2	6
21	с его	6	6
22	еще не	3	6
23	лишь в	6	6
24	но в	2	6
25	в ее	3	5
26	как и	7	5
27	не в	6	5
28	в нем	5	5
29	как в	3	5
30	он не	8	5
31	уже не	2	5
32	жизни как	2	5
33	с другой	3	5
34	не менее	4	4
35	ни в	6	4
36	в своей	3	4
37	то что	4	4
38	и т.п	2	4
39	не может	16	4
40	сказать что	3	4
41	хотя и	2	4
42	не знает	6	4
43	мира и	2	4
44	ни к	2	3
45	никогда не	6	3
46	этом смысле	2	3
47	прежде всего	4	3
48	и к	5	3
49	по своему	4	3
50	и потому	4	3
51	с ее	5	3
52	другой стороны	2	3
53	и что	2	3
54	потому что	4	3
55	нового времени	12	3
56	в основе	3	3
57	все эти	2	3
58	я не	2	2
59	могут быть	2	2
60	за пределы	3	2
61	жизни в	3	2
62	это не	4	2
63	к тому	3	2
64	одной стороны	2	2
65	к жизни	3	2
66	времени в	2	2
67	на уровне	2	2
68	во всех	3	2
69	вместе с	2	2
70	но она	2	2
71	и для	4	2
72	с одной	2	2
73	это и	2	2
74	и даже	2	2
75	так же	2	2
76	роль в	2	2
77	в мировой	2	2
78	культуры в	5	2
79	у него	2	2
80	как будто	2	2
81	о том	4	2
82	и это	2	2
83	это было	3	2
