N	3gram	Voloshinov_1	Problemy
1	в то же	3	10
2	то же время	3	10
3	с самого начала	4	8
4	в отношении к	4	7
5	по отношению к	2	6
6	в пределах одного	2	5
7	но в то	2	4
8	во всяком случае	2	4
9	и прежде всего	2	4
10	в этом смысле	2	3
11	то ни было	8	3
12	в конце концов	3	3
13	с другой стороны	5	3
14	бы то ни	8	3
15	в высшей степени	3	3
16	не может быть	13	3
17	смысле этого слова	2	2
18	к одному знаменателю	2	2
19	с точки зрения	20	2
20	в большинстве случаев	3	2
21	можно было бы	2	2
22	слова и его	2	2
23	в отличие от	5	2
24	вполне понятно что	3	2
25	и не может	9	2
26	сводится к тому	2	2
27	как и все	2	2
28	как мы знаем	5	2
29	в том что	3	2
30	внутреннего и внешнего	3	2
31	но все же	3	2
