N	3gram	Vinokur_Vv_1	Myslijsy
1	в том что	12	13
2	по отношению к	4	13
3	не может быть	8	9
4	и в этом	3	6
5	тем не менее	8	6
6	только в том	2	6
7	с другой стороны	5	5
8	языка и его	2	5
9	не в том	2	4
10	и т д	37	4
11	само по себе	3	4
12	в этом смысле	10	4
13	то же время	5	3
14	а так как	2	3
15	может быть названо	4	3
16	и в том	3	3
17	с точки зрения	2	3
18	с одной стороны	4	3
19	в то же	5	3
20	не только в	4	3
21	сама по себе	3	3
22	с тем что	3	3
23	и той же	2	3
24	одной и той	2	3
25	и того же	2	2
26	по крайней мере	4	2
27	дело в том	2	2
28	не могут быть	2	2
29	одного и того	2	2
30	и т п	5	2
31	что иное как	4	2
32	на этот вопрос	3	2
33	не что иное	4	2
34	в применении к	6	2
35	для того чтобы	21	2
