N	2gram	Vinokur_St_3	NovoeSre
1	а не	5	17
2	не может	7	16
3	и в	25	16
4	и не	10	11
5	что в	19	9
6	он не	5	8
7	в том	20	8
8	как и	4	7
9	это есть	4	7
10	в этом	24	7
11	может быть	19	7
12	с его	3	6
13	никогда не	2	6
14	не в	6	6
15	лишь в	4	6
16	но это	4	6
17	ни в	5	6
18	должен быть	2	5
19	все это	8	5
20	в жизни	4	5
21	с ее	2	5
22	xix века	4	5
23	и к	4	5
24	в ней	4	5
25	не только	12	5
26	не менее	2	4
27	то что	12	4
28	в них	5	4
29	это не	7	4
30	не было	4	4
31	не имеет	2	4
32	и для	4	4
33	потому что	5	4
34	прежде всего	10	4
35	о том	8	4
36	но и	9	3
37	в своей	4	3
38	с другой	5	3
39	в духе	2	3
40	во всех	2	3
41	и пр	13	3
42	к тому	2	3
43	что такое	7	3
44	с тем	4	3
45	как в	6	3
46	еще не	2	3
47	в россии	6	3
48	история в	2	3
49	сказать что	4	3
50	исторической эпохи	2	3
51	это было	8	3
52	что все	3	2
53	времени и	2	2
54	на протяжении	4	2
55	все время	2	2
56	место в	6	2
57	у него	9	2
58	вместе с	2	2
59	все они	3	2
60	так и	5	2
61	для этого	2	2
62	другой стороны	5	2
63	а в	6	2
64	с одной	2	2
65	этом смысле	4	2
66	все эти	3	2
67	уже не	3	2
68	нет и	2	2
69	такой же	2	2
70	одной стороны	3	2
71	это связано	3	2
72	но не	2	2
73	время как	4	2
74	мы не	2	2
75	том что	15	2
76	в смысле	4	2
77	связана с	4	2
78	в русском	2	2
79	есть в	2	2
80	можно назвать	4	2
81	одна из	2	2
82	и с	4	2
83	и что	3	2
84	могут быть	2	2
85	с этим	7	2
86	и на	6	2
87	в мировой	3	2
88	в то	7	2
89	и это	5	2
90	такого рода	5	2
91	в центре	4	2
92	том чтобы	2	2
93	но в	5	2
94	в новом	2	2
