N	2gram	Bakhtin_Pr_1	VelikijI
1	и не	42	20
2	и в	38	16
3	то что	8	9
4	еще не	7	8
5	в истории	2	8
6	и потому	4	7
7	а не	5	7
8	не есть	6	6
9	в мире	3	5
10	хотя и	3	5
11	как бы	22	5
12	но и	9	5
13	все это	3	5
14	того что	2	5
15	и есть	2	4
16	что все	2	4
17	что он	2	4
18	в нем	15	4
19	как и	7	4
20	все что	3	4
21	в котором	2	4
22	так и	5	4
23	что не	4	4
24	в этом	15	4
25	в ней	4	4
26	говорить о	3	4
27	и все	3	4
28	к личности	2	4
29	в его	43	4
30	с его	2	3
31	должна быть	4	3
32	что в	7	3
33	в этих	2	3
34	в них	5	3
35	ни в	11	3
36	в том	8	3
37	не в	7	3
38	но это	3	3
39	во всех	11	3
40	никогда не	5	3
41	оно не	3	3
42	что и	2	3
43	в своей	7	3
44	не было	2	3
45	лишь в	2	3
46	и что	2	3
47	к чему	2	3
48	не имеет	9	3
49	хотя бы	4	3
50	и для	11	3
51	должно быть	5	3
52	все эти	5	3
53	в чем	2	3
54	но в	4	3
55	нас за	3	2
56	не могут	2	2
57	человека как	2	2
58	это не	5	2
59	прежде всего	13	2
60	да и	3	2
61	том что	3	2
62	а к	2	2
63	одна из	2	2
64	от него	3	2
65	но не	12	2
66	не к	6	2
67	конечно не	5	2
68	того чтобы	2	2
69	ивана карамазова	2	2
70	и во	2	2
71	не только	9	2
72	нет и	3	2
73	не могли	2	2
74	не с	4	2
75	и т	14	2
76	в форме	4	2
77	тем что	2	2
78	в себя	2	2
79	ценности и	2	2
80	его не	2	2
81	а в	6	2
82	с ним	5	2
83	можно было	4	2
84	между тем	7	2
85	могут быть	5	2
86	только в	13	2
87	и это	3	2
