N	2gram	Bakhtin_fo_2	Narrotol
1	не только	11	26
2	а не	4	17
3	но и	9	15
4	в том	10	14
5	при этом	6	14
6	в качестве	3	14
7	и не	9	14
8	том что	4	13
9	и в	46	13
10	в этом	22	13
11	в частности	5	11
12	только в	11	11
13	может быть	7	10
14	в данном	2	10
15	к тому	3	9
16	так и	7	9
17	а в	3	9
18	то есть	10	9
19	картина мира	2	8
20	то что	7	8
21	в себе	4	8
22	не может	2	8
23	не в	9	8
24	к себе	4	7
25	никогда не	6	6
26	в своем	5	6
27	прежде всего	14	6
28	можно сказать	2	6
29	и к	2	6
30	того что	3	6
31	в его	8	6
32	и т.п	2	6
33	жизни в	4	6
34	все же	6	6
35	у него	9	6
36	как бы	10	6
37	а также	3	6
38	но в	10	6
39	место в	4	5
40	точки зрения	10	5
41	себе самому	3	5
42	что он	3	5
43	хотя и	3	5
44	он не	5	5
45	в котором	4	5
46	в нем	5	5
47	как в	4	5
48	в форме	3	5
49	таким образом	3	5
50	с одной	2	5
51	в той	2	5
52	с другой	2	5
53	на протяжении	3	5
54	в то	5	5
55	далеко не	2	5
56	о том	4	5
57	отнюдь не	4	4
58	в конце	2	4
59	в литературе	2	4
60	же в	4	4
61	как и	8	4
62	как у	3	4
63	все что	2	4
64	что в	5	4
65	для него	3	4
66	не является	3	4
67	жизни и	8	4
68	то же	8	4
69	уже не	3	4
70	в мире	4	4
71	и у	5	4
72	в другом	3	4
73	все его	4	4
74	в этой	2	4
75	и все	6	4
76	как это	2	4
77	с ним	4	4
78	в себя	2	4
79	мира в	3	4
80	человек в	2	3
81	мы имеем	2	3
82	это не	2	3
83	или иной	2	3
84	что они	4	3
85	но не	5	3
86	строго говоря	2	3
87	особое место	2	3
88	же время	4	3
89	в аспекте	2	3
90	один из	2	3
91	все эти	5	3
92	того чтобы	8	3
93	и даже	3	3
94	и по	3	3
95	и для	9	3
96	и его	12	3
97	для других	3	3
98	с этой	4	3
99	этом отношении	2	3
100	которой он	2	3
101	так сказать	7	3
102	мира и	9	3
103	о чем	3	2
104	а потом	2	2
105	из этих	4	2
106	как уже	3	2
107	вовсе не	13	2
108	со своими	2	2
109	с такою	2	2
110	и т	14	2
111	тем более	3	2
112	и более	2	2
113	по своему	2	2
114	еще не	6	2
115	было бы	2	2
116	со всеми	2	2
117	и он	4	2
118	картины мира	2	2
119	ему в	3	2
120	имеет место	3	2
121	ни для	2	2
122	что и	3	2
123	его жизни	4	2
124	жизни с	2	2
125	если не	2	2
126	именно в	2	2
127	у нас	2	2
128	те же	6	2
129	с точки	8	2
130	так же	2	2
131	как на	2	2
132	роль в	3	2
133	но это	2	2
134	но он	2	2
135	т п	11	2
136	говорить о	2	2
137	во время	10	2
138	картину мира	7	2
139	как он	2	2
140	здесь не	2	2
141	потому что	8	2
142	том как	3	2
143	картине мира	2	2
