N	2gram	Savitsky_P_1	FransuaR
1	и в	14	49
2	прежде всего	3	19
3	в его	2	18
4	не только	17	17
5	и не	12	15
6	в этом	10	15
7	в них	2	13
8	только в	7	13
9	но и	6	13
10	как бы	4	11
11	все это	2	9
12	в нем	3	9
13	не может	4	7
14	то же	9	7
15	именно в	2	6
16	то что	4	6
17	же время	7	6
18	во всех	2	6
19	и с	2	6
20	точки зрения	3	6
21	в то	7	6
22	в своем	4	5
23	в начале	2	5
24	но не	3	5
25	тот же	3	5
26	может быть	5	5
27	и потому	4	5
28	с точки	3	5
29	в эту	2	5
30	с другой	5	4
31	в жизни	2	4
32	и к	4	4
33	в себе	3	4
34	том что	4	4
35	одна из	2	4
36	и о	5	4
37	отношения к	2	4
38	не было	2	4
39	а в	4	4
40	как на	2	4
41	в области	11	4
42	но в	9	4
43	с одной	3	3
44	в xix	2	3
45	же в	4	3
46	в ее	2	3
47	в том	9	3
48	да и	2	3
49	в значительной	2	3
50	одной стороны	3	3
51	было бы	6	3
52	из них	2	3
53	и других	2	3
54	и вот	2	3
55	духа и	2	3
56	xix веке	2	3
57	и это	2	3
58	что в	4	2
59	для них	2	2
60	могут быть	3	2
61	в качестве	9	2
62	думать что	2	2
63	в смысле	6	2
64	xix века	6	2
65	в отношении	10	2
66	есть в	2	2
67	по сравнению	2	2
68	и без	3	2
69	в пределах	8	2
70	хотя и	3	2
71	в ней	6	2
72	в мире	2	2
73	мы должны	4	2
