N	2gram	Kanaev_Sov_1	Formalny
1	и в	7	38
2	в этом	7	27
3	может быть	12	23
4	и пр	2	21
5	таким образом	11	20
6	и не	6	20
7	в самом	2	16
8	прежде всего	5	15
9	не в	3	15
10	не может	17	14
11	в нем	3	13
12	в том	4	11
13	в его	2	10
14	с помощью	4	10
15	как и	6	9
16	при этом	3	9
17	не только	4	9
18	отнюдь не	3	8
19	все же	3	8
20	самом деле	2	8
21	точки зрения	12	8
22	что в	2	7
23	не могут	2	7
24	как мы	2	7
25	уже не	2	7
26	с точки	5	7
27	в первом	3	7
28	в результате	6	6
29	в этой	3	6
30	было бы	3	6
31	первый период	2	6
32	вместе с	4	6
33	то же	3	6
34	все эти	5	6
35	а не	3	6
36	могут быть	2	6
37	а в	4	6
38	если мы	4	5
39	что же	5	5
40	с этим	2	5
41	еще более	2	5
42	говорить о	2	5
43	во всяком	2	5
44	всяком случае	2	5
45	мы видели	4	4
46	в дальнейшем	4	4
47	совершенно не	2	4
48	как бы	4	4
49	и к	3	4
50	из них	4	4
51	в некоторых	2	4
52	и наконец	5	4
53	и даже	2	4
54	ничего не	6	4
55	так как	4	4
56	но в	3	4
57	из этих	2	3
58	мы знаем	2	3
59	но все	2	3
60	зависимости от	4	3
61	в зависимости	4	3
62	в целом	4	3
63	жизни и	4	3
64	быть и	2	3
65	все это	3	3
66	то и	2	3
67	такой же	2	3
68	тем же	2	3
69	роль в	2	3
70	мы не	9	3
71	и все	3	3
72	период развития	2	3
73	что это	2	3
74	так сказать	2	3
75	в области	3	3
76	времени и	2	2
77	уже в	3	2
78	самого начала	3	2
79	а все	3	2
80	говорим о	2	2
81	это не	4	2
82	в конце	3	2
83	этих двух	2	2
84	же это	4	2
85	на котором	2	2
86	с самого	3	2
87	или же	2	2
88	ни одна	2	2
89	в развитии	4	2
90	приводит к	2	2
91	на этом	2	2
92	то ни	2	2
93	и по	2	2
94	отличие от	2	2
95	только так	2	2
96	в таком	2	2
97	их в	4	2
98	он в	3	2
99	в отличие	2	2
100	если же	2	2
101	само собою	3	2
102	в которой	2	2
