N	2gram	Voloshinov_1	KulturaY
1	в том	4	30
2	и в	15	24
3	потому что	4	23
4	том что	5	21
5	что в	6	17
6	того чтобы	2	17
7	и пр	9	15
8	было бы	6	15
9	в этом	13	14
10	точки зрения	13	14
11	может быть	13	13
12	все же	5	12
13	таким образом	21	12
14	в его	9	12
15	и не	16	12
16	не в	4	11
17	только в	6	11
18	вовсе не	2	10
19	в самом	6	10
20	у нас	3	10
21	не только	5	10
22	хотя бы	7	10
23	если бы	3	9
24	то что	10	9
25	прежде всего	11	9
26	отношению к	9	9
27	самом деле	7	9
28	того что	2	9
29	с точки	10	9
30	так как	9	9
31	по отношению	11	8
32	то же	7	8
33	уже не	5	8
34	а не	2	8
35	как раз	2	8
36	не менее	3	7
37	в качестве	2	7
38	как бы	11	7
39	вместе с	4	7
40	не может	13	7
41	с помощью	9	7
42	это не	2	7
43	бы в	2	7
44	в области	3	7
45	так и	10	7
46	именно в	3	6
47	что он	8	6
48	зависимости от	2	6
49	при этом	7	6
50	что такое	3	6
51	в ней	5	6
52	но и	4	6
53	что же	4	6
54	все это	5	6
55	все эти	9	6
56	что это	3	5
57	в зависимости	2	5
58	к тому	4	5
59	но не	5	5
60	еще не	7	5
61	всяком случае	3	5
62	и что	3	5
63	этом отношении	2	5
64	а потому	2	5
65	а в	6	5
66	и его	15	5
67	рядом с	2	5
68	во всяком	4	5
69	между тем	2	5
70	так сказать	3	5
71	с ним	12	5
72	и с	7	5
73	учение о	2	4
74	с его	8	4
75	в этих	2	4
76	к себе	3	4
77	и потому	8	4
78	в нем	4	4
79	на язык	2	4
80	в таких	3	4
81	один из	4	4
82	должен быть	2	4
83	что и	2	4
84	тем не	2	4
85	в целом	2	4
86	сих пор	3	4
87	со стороны	2	4
88	до сих	3	4
89	как в	3	4
90	с этим	6	4
91	роль в	6	4
92	с ними	4	4
93	и на	3	4
94	в данном	3	4
95	из этих	4	4
96	слова и	2	4
97	как на	3	3
98	для этого	4	3
99	на себя	2	3
100	можно сказать	4	3
101	сводится к	3	3
102	в первом	2	3
103	в г	3	3
104	в этой	5	3
105	в свою	2	3
106	мы увидим	4	3
107	и может	4	3
108	в истории	3	3
109	оно не	2	3
110	что она	2	3
111	тому что	3	3
112	в своем	2	3
113	не было	4	3
114	что оно	2	3
115	и даже	2	3
116	в таком	3	3
117	должно быть	2	3
118	той же	2	3
119	с их	3	3
120	и то	2	3
121	нуждается в	2	3
122	они не	2	3
123	в себе	4	3
124	это только	2	3
125	в одном	3	3
126	я не	3	2
127	для них	3	2
128	и есть	2	2
129	никогда не	7	2
130	не является	3	2
131	и все	4	2
132	этого не	2	2
133	что все	5	2
134	на самом	2	2
135	не всегда	4	2
136	не могут	3	2
137	по себе	2	2
138	в собственном	2	2
139	если мы	5	2
140	в то	6	2
141	как и	6	2
142	но все	2	2
143	и при	3	2
144	в большинстве	4	2
145	же время	5	2
146	социальной жизни	2	2
147	тот же	5	2
148	конечно не	3	2
149	в своей	9	2
150	одним из	3	2
151	роли в	2	2
152	но если	2	2
153	все те	4	2
154	в состоянии	2	2
155	ее в	2	2
156	наука о	2	2
157	ни в	6	2
158	бы и	2	2
159	и было	2	2
160	он не	4	2
161	и для	2	2
162	и становится	2	2
163	целом и	2	2
164	во втором	3	2
165	должны быть	3	2
166	между ними	2	2
167	увидим что	4	2
168	в силах	2	2
169	в более	3	2
170	и социальной	2	2
171	одно из	3	2
172	в каком	3	2
173	большое значение	2	2
174	до конца	5	2
175	ничего не	2	2
176	но в	9	2
