N	2gram	Tiupa_Lite_1	Tvorches
1	у достоевского	2	28
2	и в	8	21
3	как бы	7	17
4	в то	5	15
5	в его	7	13
6	то же	5	13
7	что в	3	12
8	как и	6	12
9	же время	5	12
10	то есть	6	12
11	с его	5	11
12	том что	14	11
13	как в	5	8
14	то что	10	8
15	у него	3	7
16	в том	16	7
17	тем самым	5	7
18	при этом	19	7
19	не только	24	7
20	и не	12	7
21	в году	13	7
22	но в	3	7
23	что он	5	6
24	не менее	7	6
25	для него	2	6
26	а в	3	6
27	и его	4	6
28	в этом	12	6
29	xix века	6	6
30	о том	2	6
31	это уже	2	5
32	отнюдь не	2	5
33	а не	16	5
34	может быть	13	5
35	в этой	4	5
36	все же	4	5
37	таким образом	3	5
38	хотя бы	2	5
39	в своих	4	5
40	потому что	3	5
41	как будто	2	5
42	только в	8	5
43	в русской	10	5
44	в своем	11	4
45	та же	2	4
46	человека и	2	4
47	прежде всего	11	4
48	в мире	2	4
49	в целом	8	4
50	конечном счете	4	4
51	одним из	5	4
52	в конечном	5	4
53	один из	3	4
54	своего рода	11	4
55	в своей	4	4
56	русской литературе	5	4
57	не может	5	4
58	это не	4	4
59	самим собой	2	4
60	не случайно	2	4
61	уже в	5	3
62	никогда не	4	3
63	с другой	3	3
64	я не	7	3
65	что я	2	3
66	но не	4	3
67	в самом	3	3
68	той же	3	3
69	даже в	2	3
70	в нем	2	3
71	жизни и	3	3
72	но и	17	3
73	дело не	2	3
74	в их	3	3
75	уже не	7	3
76	утверждал что	2	3
77	это как	2	3
78	того что	6	3
79	и даже	3	3
80	в россии	2	3
81	ту же	2	3
82	далеко не	3	3
83	дело в	3	3
84	представляет собой	4	3
85	я и	7	3
86	в основе	3	2
87	в принципе	3	2
88	я от	2	2
89	а как	2	2
90	все более	2	2
91	в частности	15	2
92	однако в	2	2
93	на том	2	2
94	в качестве	17	2
95	не столько	5	2
96	в жизни	6	2
97	одного из	3	2
98	что его	3	2
99	не в	8	2
100	одна из	3	2
101	того же	2	2
102	в нашей	2	2
103	из них	4	2
104	к тому	2	2
105	только на	2	2
106	по преимуществу	4	2
107	же и	3	2
108	и тем	4	2
109	тем не	2	2
110	еще в	4	2
111	данном случае	4	2
112	жизни с	2	2
113	так и	4	2
114	нет не	2	2
115	приводит к	3	2
116	в отличие	5	2
117	что для	2	2
118	и того	2	2
119	в себя	2	2
120	не мог	3	2
121	самом деле	2	2
122	но без	2	2
123	что не	2	2
124	на смену	6	2
125	отличие от	5	2
126	ведет к	4	2
127	могут быть	2	2
128	во имя	2	2
129	в данном	5	2
130	в себе	7	2
131	более не	2	2
132	в виду	3	2
133	мира в	3	2
134	русской литературы	2	2
