N	2gram	Tiupa_Narr_1	SlovoVZh
1	не может	10	16
2	точки зрения	10	14
3	может быть	25	14
4	и его	5	13
5	как бы	4	13
6	и в	19	12
7	отношению к	6	11
8	по отношению	7	11
9	и не	20	10
10	прежде всего	4	8
11	сказать что	4	7
12	в нем	4	6
13	при этом	9	6
14	в том	18	6
15	только в	4	6
16	к содержанию	3	6
17	в ней	3	6
18	и др	2	5
19	то что	11	5
20	должна быть	2	5
21	никогда не	3	5
22	а не	12	5
23	можно сказать	5	5
24	то же	4	5
25	хотя бы	4	5
26	как и	7	5
27	том что	14	5
28	отнюдь не	5	5
29	как в	7	5
30	что мы	2	5
31	героя и	4	5
32	но в	6	5
33	ни было	3	4
34	все же	7	4
35	отношение к	2	4
36	жизни и	3	4
37	так и	9	4
38	с другой	8	4
39	уже не	5	4
40	что не	4	4
41	в литературе	2	4
42	не в	14	4
43	в этом	17	4
44	и на	3	4
45	его в	2	4
46	к нему	5	4
47	не только	32	4
48	точка зрения	6	3
49	бы то	3	3
50	не менее	3	3
51	когда он	3	3
52	как к	2	3
53	то ни	3	3
54	все эти	2	3
55	по себе	5	3
56	этой точки	2	3
57	но и	23	3
58	точек зрения	2	3
59	тем не	3	3
60	ни в	3	3
61	да и	4	3
62	так же	2	3
63	самом деле	2	3
64	и с	4	3
65	о том	6	3
66	нуждается в	5	3
67	и ее	2	3
68	в себе	8	3
69	для него	2	3
70	в пределах	2	3
71	еще не	7	3
72	и для	2	3
73	здесь не	4	3
74	между тем	3	3
75	уже в	3	2
76	зависит от	2	2
77	с его	6	2
78	независимо от	2	2
79	но все	4	2
80	от всех	2	2
81	что в	3	2
82	данном случае	4	2
83	себя и	2	2
84	на него	3	2
85	между собой	2	2
86	в форме	5	2
87	в своем	2	2
88	точку зрения	4	2
89	в какой	2	2
90	другой стороны	4	2
91	это не	2	2
92	дело с	2	2
93	мы имеем	2	2
94	и все	2	2
95	бы не	2	2
96	в особенности	4	2
97	тому же	5	2
98	жизнью и	2	2
99	с одной	7	2
100	те же	4	2
101	в себя	6	2
102	не есть	3	2
103	с точки	2	2
104	его как	2	2
105	высказывания и	3	2
106	форма высказывания	2	2
107	в данном	5	2
108	но не	5	2
109	могут быть	3	2
110	она не	2	2
111	в то	3	2
112	одной стороны	7	2
113	имеет место	4	2
114	оно не	2	2
115	как это	6	2
116	ничего не	2	2
117	он не	3	2
118	в его	9	2
119	и потому	2	2
120	между ними	2	2
