N	2gram	Nazirov_Vr_1	FransuaR
1	и в	8	49
2	в его	3	18
3	не только	9	17
4	и его	3	17
5	и не	5	15
6	в этом	8	15
7	в них	2	13
8	но и	7	13
9	в году	18	13
10	во время	2	12
11	как и	6	11
12	как бы	4	11
13	и т.п	2	11
14	в этой	2	10
15	все это	4	9
16	в романе	6	9
17	для него	2	9
18	в нем	6	9
19	отношение к	2	8
20	все же	6	7
21	не может	2	7
22	таким образом	2	7
23	то же	5	7
24	то что	7	6
25	в истории	4	6
26	же время	5	6
27	рядом с	2	6
28	и с	6	6
29	но он	3	6
30	точки зрения	2	6
31	в то	5	6
32	с его	3	5
33	никогда не	2	5
34	в своем	3	5
35	уже в	4	5
36	в начале	6	5
37	при этом	4	5
38	может быть	4	5
39	в своей	2	5
40	с точки	2	5
41	в эту	2	5
42	и во	3	4
43	в себе	2	4
44	том что	3	4
45	этот момент	2	4
46	одна из	2	4
47	и о	3	4
48	в своих	4	4
49	отношения к	2	4
50	не было	5	4
51	а в	2	4
52	году в	2	4
53	тем что	3	4
54	с ним	4	4
55	но в	6	4
56	место в	2	3
57	о чем	2	3
58	что он	4	3
59	же в	2	3
60	в том	3	3
61	из них	2	3
62	несмотря на	4	3
63	раз в	3	3
64	он пишет	2	3
65	и все	7	3
66	так в	2	3
67	их в	2	3
68	далеко не	3	3
69	о том	4	3
70	и это	2	3
71	в виду	4	3
72	связи с	3	2
73	что в	7	2
74	это в	2	2
75	и образы	2	2
76	в одну	2	2
77	на то	3	2
78	там же	2	2
79	он был	3	2
80	но это	2	2
81	еще не	2	2
82	очень хорошо	2	2
83	одним из	3	2
84	у него	5	2
85	в ней	4	2
86	в него	2	2
87	в мире	2	2
88	вместе с	2	2
89	целый ряд	4	2
90	в связи	3	2
91	и даже	6	2
92	так же	4	2
93	на основе	2	2
94	в конце	3	2
