N	2gram	Nazirov_Vr_1	OGranits
1	и в	8	13
2	и его	3	12
3	не может	2	8
4	и не	5	8
5	может быть	4	8
6	и т.п	2	7
7	точки зрения	2	7
8	в его	3	7
9	таким образом	2	6
10	не только	9	6
11	то что	7	6
12	как бы	4	6
13	все же	6	5
14	с точки	2	5
15	то же	5	4
16	в своей	2	4
17	все это	4	4
18	но в	6	4
19	и уже	3	3
20	что в	7	3
21	никогда не	2	3
22	но и	7	3
23	и все	7	3
24	как и	6	3
25	и то	2	3
26	в себе	2	3
27	не менее	2	2
28	уже в	4	2
29	в нем	6	2
30	в этот	3	2
31	в них	2	2
32	в связи	3	2
33	а в	2	2
34	в чем	3	2
35	в том	3	2
36	так же	4	2
37	не мог	2	2
38	том что	3	2
39	в своих	4	2
40	в этом	8	2
41	тем что	3	2
42	между тем	5	2
43	при этом	4	2
44	и ее	2	2
45	для него	2	2
46	несмотря на	4	2
47	его на	2	2
48	в ней	4	2
49	а также	2	2
