N	2gram	Tiupa_Lite_3	Narrotol
1	не только	14	31
2	но и	14	27
3	и не	22	23
4	при этом	15	19
5	может быть	12	15
6	в частности	11	14
7	в качестве	5	14
8	в тексте	4	13
9	как и	5	13
10	а не	12	13
11	а в	5	13
12	только в	7	12
13	в этом	14	12
14	и в	16	11
15	в данном	4	11
16	состоит в	6	10
17	такого рода	10	10
18	своего рода	10	10
19	и его	6	10
20	тогда как	17	10
21	то что	12	9
22	то есть	5	9
23	то же	9	8
24	в том	12	8
25	данном случае	4	8
26	со стороны	7	8
27	и т.п	6	8
28	не может	8	8
29	уже не	3	8
30	представляет собой	2	8
31	если бы	2	7
32	том что	8	7
33	но в	3	7
34	одного из	2	6
35	к тому	6	6
36	а также	4	6
37	не в	10	6
38	в самом	3	6
39	как бы	8	6
40	один из	2	6
41	жизни и	3	6
42	как раз	2	6
43	тому же	5	6
44	во втором	2	6
45	в себе	6	6
46	в его	6	6
47	в этой	8	6
48	можно сказать	2	5
49	в соответствии	3	5
50	той или	2	5
51	в своей	7	5
52	так и	9	5
53	тем самым	7	5
54	и на	2	5
55	потому что	3	5
56	точки зрения	7	5
57	с его	6	4
58	о чем	3	4
59	никогда не	4	4
60	к себе	8	4
61	в третьем	3	4
62	или иной	2	4
63	соответствии с	5	4
64	все же	2	4
65	для него	2	4
66	то в	3	4
67	но не	4	4
68	же время	7	4
69	прежде всего	3	4
70	еще не	6	4
71	вплоть до	2	4
72	и тем	3	4
73	в нем	2	4
74	в мире	16	4
75	в первом	2	4
76	из них	4	4
77	по себе	2	4
78	как в	5	4
79	внимание на	2	4
80	того что	9	4
81	того чтобы	2	4
82	в принципе	2	4
83	хотя и	4	4
84	на себя	2	4
85	в то	9	4
86	что у	2	4
87	о том	6	4
88	в одном	4	4
89	мира в	3	4
90	не менее	2	3
91	тому как	3	3
92	по мысли	6	3
93	что в	2	3
94	однако в	4	3
95	по большей	2	3
96	это не	5	3
97	в жизни	8	3
98	не всегда	2	3
99	большей части	2	3
100	что он	5	3
101	еще раз	2	3
102	у нас	2	3
103	и как	3	3
104	в начале	4	3
105	в противовес	7	3
106	в целом	5	3
107	самом деле	3	3
108	для того	2	3
109	жизни а	2	3
110	о нем	2	3
111	еще в	3	3
112	отношению к	4	3
113	по отношению	4	3
114	теперь как	2	3
115	быть не	2	3
116	этом отношении	5	3
117	именно в	5	3
118	лишь в	5	3
119	едва ли	3	3
120	в слове	3	3
121	в глазах	3	3
122	и с	2	3
123	подобно тому	2	3
124	и ее	2	3
125	как будто	4	3
126	присутствия в	6	3
127	всего лишь	5	3
128	как это	3	3
129	между тем	3	3
130	отнюдь не	3	2
131	а на	2	2
132	в конце	2	2
133	в своего	2	2
134	в свою	2	2
135	на то	2	2
136	как мы	2	2
137	а по	2	2
138	же в	2	2
139	в романе	3	2
140	с ее	3	2
141	до конца	4	2
142	в первой	2	2
143	как у	4	2
144	в случае	2	2
145	не вполне	2	2
146	к жизни	2	2
147	оно не	2	2
148	раз в	2	2
149	себя в	7	2
150	вместе с	5	2
151	в е	8	2
152	человеческого присутствия	2	2
153	и тогда	2	2
154	другой стороны	2	2
155	жизни в	4	2
156	в отличие	5	2
157	входит в	4	2
158	и только	2	2
159	если не	2	2
160	человека в	2	2
161	в году	5	2
162	и вот	2	2
163	что не	2	2
164	и даже	2	2
165	жизни как	2	2
166	с другой	6	2
167	и для	4	2
168	отличие от	5	2
169	с ними	2	2
170	он и	2	2
171	в присутствии	2	2
172	связи с	2	2
173	я в	7	2
174	же самое	2	2
175	здесь не	2	2
176	в области	3	2
177	мыслится как	3	2
