N	2gram	Tiupa_Hudo_1	Istorich
1	и в	19	28
2	может быть	14	25
3	не может	7	15
4	а не	9	15
5	никогда не	2	14
6	мы имеем	6	13
7	что в	6	12
8	то же	10	12
9	не только	16	12
10	только в	5	11
11	что он	3	10
12	прежде всего	4	10
13	но и	10	10
14	и что	3	10
15	в том	18	9
16	о том	2	9
17	то что	4	9
18	и не	15	9
19	не в	7	9
20	так и	11	9
21	если бы	3	8
22	таким образом	3	8
23	в этом	11	8
24	но в	7	8
25	в этих	3	7
26	это не	2	7
27	том что	8	7
28	еще не	3	7
29	и др	2	7
30	а в	12	7
31	так же	2	7
32	с другой	7	6
33	не менее	3	6
34	к тому	4	6
35	тем не	3	6
36	это тоже	2	6
37	что и	2	6
38	в этой	2	6
39	его в	2	6
40	не знает	3	5
41	в одном	2	5
42	более или	5	5
43	но не	11	5
44	например в	3	5
45	в качестве	24	5
46	что она	2	5
47	ее в	2	5
48	дело не	2	5
49	или менее	5	5
50	другой стороны	5	5
51	в своем	2	5
52	на основе	2	5
53	или в	2	5
54	их в	3	5
55	сказать что	4	5
56	в его	9	5
57	к которому	4	5
58	все это	2	4
59	и другие	2	4
60	между собой	2	4
61	превращается в	2	4
62	в пределах	3	4
63	об этом	2	4
64	представляет собой	10	4
65	одной стороны	2	4
66	чем это	2	4
67	даже в	3	4
68	один из	2	4
69	а именно	2	4
70	так в	4	4
71	с одной	2	4
72	как и	2	4
73	того что	4	4
74	и для	2	4
75	и на	2	4
76	потому что	3	4
77	в основе	4	4
78	могут быть	4	4
79	как правило	2	4
80	все эти	2	4
81	здесь не	2	4
82	не все	2	4
83	я не	2	3
84	в какой	2	3
85	может оказаться	2	3
86	не как	2	3
87	по себе	2	3
88	не с	2	3
89	именно в	2	3
90	при этом	13	3
91	и по	2	3
92	отношению к	9	3
93	в форме	4	3
94	в их	5	3
95	уже не	4	3
96	и его	12	3
97	если мы	2	3
98	как это	5	3
99	или даже	3	3
100	по отношению	9	3
101	в другом	3	3
102	в то	6	3
103	а с	2	2
104	в рамках	8	2
105	отличие от	7	2
106	в частности	13	2
107	он должен	3	2
108	и потому	2	2
109	между ними	4	2
110	была бы	3	2
111	вовсе не	2	2
112	как уже	2	2
113	таких случаях	2	2
114	в ее	5	2
115	и как	3	2
116	по своей	7	2
117	одна из	2	2
118	говорит в	2	2
119	для него	4	2
120	одной из	2	2
121	никто не	2	2
122	с ним	2	2
123	как бы	9	2
124	не вполне	2	2
125	и тем	2	2
126	в нем	5	2
127	себя в	7	2
128	в целом	3	2
129	во всех	3	2
130	в русской	3	2
131	со стороны	2	2
132	как в	2	2
133	во всей	3	2
134	как раз	3	2
135	не на	3	2
136	в отличие	7	2
137	отношения к	2	2
138	он не	4	2
139	приводит к	5	2
140	а только	4	2
141	и конец	2	2
142	право на	2	2
143	ни к	2	2
144	между тем	4	2
145	однако в	4	2
146	в себе	9	2
147	в конечном	5	2
148	еще один	2	2
149	из этого	2	2
150	в области	6	2
151	тексты а	2	2
