N	2gram	Bakhtin_sl_2	Vladivir
1	и в	39	30
2	то что	2	20
3	в этом	16	20
4	у него	3	19
5	в том	5	18
6	и не	22	18
7	и с	9	14
8	что он	2	13
9	том что	5	12
10	что в	3	12
11	не только	24	12
12	в его	7	11
13	а в	4	11
14	как мы	7	11
15	сказать что	3	11
16	а также	3	10
17	и даже	7	10
18	не было	2	10
19	не в	9	9
20	для него	7	9
21	кроме того	2	9
22	все же	6	9
23	не может	20	9
24	в то	4	9
25	связи с	3	8
26	в своем	6	8
27	вместе с	2	8
28	но и	21	8
29	в связи	2	8
30	но в	6	8
31	не менее	4	7
32	никогда не	7	7
33	точки зрения	8	7
34	и все	5	7
35	ни в	4	7
36	до конца	17	7
37	может быть	37	7
38	для нас	5	7
39	а не	14	7
40	как это	3	7
41	то есть	26	7
42	хотя и	2	6
43	прежде всего	8	6
44	и к	6	6
45	только в	5	6
46	всяком случае	2	6
47	во всяком	3	6
48	в себе	2	6
49	жизни и	6	6
50	а именно	2	6
51	и его	33	6
52	также и	2	6
53	по себе	5	5
54	как и	6	5
55	в дальнейшем	2	5
56	при этом	7	5
57	в основном	4	5
58	как бы	7	5
59	так и	15	5
60	все это	16	5
61	с этим	2	5
62	в результате	2	5
63	все эти	6	5
64	так как	4	5
65	с ним	7	5
66	с его	7	4
67	именно в	2	4
68	вовсе не	10	4
69	его в	4	4
70	на его	2	4
71	конечно не	5	4
72	в ней	3	4
73	он не	2	4
74	в нем	19	4
75	в этих	7	4
76	то же	4	4
77	и наконец	5	4
78	той же	3	4
79	и на	4	4
80	но это	3	4
81	о том	2	4
82	здесь не	4	4
83	отношение к	4	4
84	уже в	2	3
85	всех этих	4	3
86	именно к	2	3
87	в них	6	3
88	в отношении	4	3
89	хотя бы	3	3
90	же время	4	3
91	в свою	3	3
92	что и	3	3
93	и как	3	3
94	можно говорить	2	3
95	более или	2	3
96	но не	6	3
97	в данном	2	3
98	и для	5	3
99	и особенно	2	3
100	еще более	2	3
101	с точки	3	3
102	во всех	12	3
103	или менее	2	3
104	как в	13	3
105	в отличие	12	3
106	отношения к	4	3
107	таким образом	8	3
108	только и	2	3
109	те же	2	3
110	уже не	5	3
111	наконец в	4	3
112	отличие от	13	3
113	в таком	4	3
114	не столько	3	3
115	в виде	2	3
116	даже и	4	3
117	к ней	2	3
118	но он	2	3
119	дело в	2	3
120	в области	2	3
121	к нему	3	2
122	борьба с	4	2
123	однако в	2	2
124	жизни в	2	2
125	языке в	2	2
126	это не	5	2
127	и от	3	2
128	тогда когда	2	2
129	мы видели	2	2
130	не был	2	2
131	здесь в	3	2
132	на котором	2	2
133	без всякого	2	2
134	мы сказали	2	2
135	свою очередь	2	2
136	на этом	3	2
137	единство и	3	2
138	она не	6	2
139	и часто	3	2
140	мы уже	2	2
141	в сущности	6	2
142	же и	2	2
143	и потому	7	2
144	о нем	2	2
145	для того	2	2
146	даже в	2	2
147	себя в	8	2
148	его и	2	2
149	в их	2	2
150	с которым	2	2
151	стремится к	3	2
152	как к	3	2
153	того как	2	2
154	от нас	2	2
155	но все	5	2
156	в той	4	2
157	эта идея	2	2
158	того чтобы	2	2
159	в чем	3	2
160	его не	4	2
161	и при	2	2
162	в более	2	2
163	к его	2	2
164	как он	2	2
165	или как	4	2
166	в чисто	3	2
167	мы не	2	2
168	в новом	2	2
