N	2gram	Tiupa_Anal_1	Tvorches
1	и в	18	21
2	как бы	5	17
3	в то	9	15
4	в его	13	13
5	то же	9	13
6	что в	5	12
7	как и	13	12
8	же время	6	12
9	то есть	11	12
10	с его	3	11
11	том что	12	11
12	он не	3	8
13	то что	6	8
14	в том	27	7
15	тем самым	7	7
16	при этом	12	7
17	не только	15	7
18	и не	21	7
19	и на	5	7
20	но в	8	7
21	что он	3	6
22	и все	3	6
23	для него	2	6
24	в котором	3	6
25	по природе	3	6
26	а в	9	6
27	и его	5	6
28	в этом	13	6
29	о том	5	6
30	отнюдь не	15	5
31	вовсе не	2	5
32	а не	17	5
33	может быть	29	5
34	в этой	5	5
35	все же	4	5
36	таким образом	3	5
37	хотя бы	3	5
38	потому что	2	5
39	как будто	3	5
40	только в	6	5
41	прежде всего	6	4
42	в мире	8	4
43	и как	5	4
44	времени и	6	4
45	в целом	5	4
46	конечном счете	4	4
47	одним из	3	4
48	в конечном	4	4
49	один из	2	4
50	своего рода	3	4
51	в своей	6	4
52	не может	22	4
53	это не	6	4
54	самим собой	2	4
55	не случайно	3	4
56	место в	3	3
57	никогда не	2	3
58	с другой	4	3
59	с ним	4	3
60	соответствии с	2	3
61	но не	10	3
62	на его	2	3
63	в самом	6	3
64	той же	2	3
65	даже в	3	3
66	в нем	3	3
67	и т	3	3
68	но и	17	3
69	дело не	3	3
70	в их	5	3
71	во времени	4	3
72	который в	2	3
73	уже не	4	3
74	на самом	2	3
75	это как	2	3
76	того что	4	3
77	и по	2	3
78	в которой	2	3
79	и с	2	3
80	далеко не	6	3
81	представляет собой	16	3
82	так как	2	3
83	подхода к	3	3
84	я и	6	3
85	в основе	6	2
86	такой же	2	2
87	в принципе	8	2
88	а как	2	2
89	и та	2	2
90	в частности	19	2
91	однако в	3	2
92	в качестве	31	2
93	не столько	2	2
94	одного из	2	2
95	личности в	3	2
96	в литературе	4	2
97	есть не	8	2
98	можно сказать	2	2
99	что и	3	2
100	других людей	2	2
101	самое время	2	2
102	не в	14	2
103	то в	2	2
104	быть может	2	2
105	того же	4	2
106	мысль о	2	2
107	из них	2	2
108	к тому	7	2
109	не могу	2	2
110	если в	3	2
111	не будет	3	2
112	еще в	2	2
113	вместе с	4	2
114	данном случае	2	2
115	так и	4	2
116	в отличие	6	2
117	как к	2	2
118	и того	5	2
119	именно в	4	2
120	в двух	2	2
121	в себя	6	2
122	самом деле	2	2
123	что не	3	2
124	что как	3	2
125	отличие от	6	2
126	ведет к	3	2
127	свидетельствует о	2	2
128	в первом	2	2
129	могут быть	4	2
130	в данном	2	2
131	в себе	11	2
132	т п	3	2
133	при помощи	2	2
134	мира в	2	2
