N	2gram	Medvedev_U_1	Problema
1	и в	14	30
2	в своей	3	22
3	то что	7	18
4	не только	10	18
5	том что	2	17
6	в этом	7	17
7	но и	4	13
8	таким образом	2	13
9	в том	2	12
10	в его	2	12
11	и не	8	12
12	в этой	4	10
13	все же	3	9
14	но в	3	9
15	только в	2	9
16	в конце	2	8
17	художественного творчества	5	8
18	что он	2	7
19	у нас	3	7
20	как и	3	7
21	но не	2	7
22	может быть	6	7
23	не в	2	7
24	с другой	4	6
25	прежде всего	8	6
26	и для	2	6
27	конце концов	2	6
28	что и	2	6
29	другой стороны	3	6
30	в самом	2	5
31	не может	7	5
32	а не	10	5
33	и у	2	5
34	и то	3	5
35	как раз	2	5
36	и с	2	5
37	если не	2	4
38	в частности	3	4
39	но даже	2	4
40	по крайней	2	4
41	было бы	3	4
42	а его	2	4
43	крайней мере	2	4
44	нас в	2	4
45	даже и	2	4
46	в себе	2	4
47	в то	3	4
48	же не	2	4
49	этом смысле	2	3
50	не могут	2	2
51	это уже	2	2
52	хотя бы	5	2
53	это не	3	2
54	не все	2	2
55	или иных	2	2
56	по себе	2	2
57	то же	5	2
58	по существу	2	2
59	мы и	2	2
60	до сих	2	2
61	конечно не	4	2
62	и является	2	2
63	бы то	3	2
64	и только	5	2
65	то ни	3	2
66	тех или	2	2
67	мы не	2	2
68	самом деле	2	2
69	форму и	2	2
70	между тем	2	2
71	тем что	2	2
72	в области	3	2
73	ничего не	2	2
74	сих пор	2	2
