N	2gram	Tiupa_Hudo_2	Literetu
1	и не	18	22
2	тогда как	7	17
3	и в	28	16
4	в мире	7	16
5	при этом	11	15
6	не только	11	14
7	но и	9	14
8	в этом	13	14
9	а не	14	12
10	то что	6	12
11	может быть	8	12
12	в том	15	12
13	в частности	7	11
14	не в	13	10
15	своего рода	16	10
16	я и	6	10
17	то же	6	9
18	так и	8	9
19	в то	6	9
20	в жизни	8	8
21	том что	19	8
22	не может	4	8
23	к себе	3	8
24	в этой	5	8
25	как бы	5	8
26	в своей	6	7
27	же время	4	7
28	себя в	8	7
29	со стороны	3	7
30	тем самым	2	7
31	точки зрения	2	7
32	только в	4	7
33	с его	5	6
34	состоит в	7	6
35	с другой	3	6
36	к тому	7	6
37	художественного мышления	2	6
38	еще не	3	6
39	в его	11	6
40	и его	5	6
41	в себе	9	6
42	в другом	2	6
43	о том	12	6
44	в качестве	4	5
45	это не	6	5
46	что он	8	5
47	в ее	18	5
48	тому же	2	5
49	как и	11	5
50	соответствии с	3	5
51	лишь в	2	5
52	вместе с	2	5
53	как в	5	5
54	а в	6	5
55	именно в	2	5
56	всего лишь	3	5
57	в основе	2	5
58	что я	2	5
59	место в	2	4
60	но не	4	4
61	никогда не	5	4
62	однако в	2	4
63	как у	2	4
64	одной стороны	3	4
65	и для	2	4
66	отношению к	7	4
67	из них	2	4
68	данном случае	2	4
69	в тексте	5	4
70	по отношению	7	4
71	жизни в	7	4
72	с одной	3	4
73	а также	2	4
74	в данном	2	4
75	одно из	5	4
76	как будто	4	4
77	в одном	3	4
78	только для	2	3
79	все время	3	3
80	личности в	3	3
81	отнюдь не	2	3
82	прежде всего	3	3
83	в г	2	3
84	личности с	2	3
85	в соответствии	3	3
86	то в	4	3
87	о чем	8	3
88	и к	2	3
89	в самом	5	3
90	и а	2	3
91	вслед за	4	3
92	я с	2	3
93	с ее	5	3
94	жизни и	6	3
95	бы и	4	3
96	уже не	10	3
97	самом деле	3	3
98	с точки	2	3
99	как на	2	3
100	той же	2	3
101	в глазах	6	3
102	тому как	4	3
103	не случайно	10	3
104	потому что	2	3
105	едва ли	3	3
106	как это	7	3
107	но в	2	3
108	перед жизнью	2	3
109	между тем	8	3
110	всю ночь	3	2
111	жизни не	2	2
112	что в	5	2
113	не менее	5	2
114	если бы	6	2
115	все они	3	2
116	что у	3	2
117	как о	3	2
118	оно не	2	2
119	не как	2	2
120	я не	7	2
121	автором и	2	2
122	ни с	2	2
123	со всей	2	2
124	или иной	2	2
125	в нем	3	2
126	и ее	3	2
127	мы с	3	2
128	а по	2	2
129	раз в	3	2
130	всякий раз	3	2
131	во втором	2	2
132	для него	5	2
133	можно сказать	6	2
134	было бы	3	2
135	и сам	5	2
136	без другого	2	2
137	что не	2	2
138	несмотря на	3	2
139	не могу	3	2
140	я это	2	2
141	о нем	2	2
142	себя и	2	2
143	для себя	6	2
144	мире не	2	2
145	один из	2	2
146	не с	2	2
147	что и	4	2
148	все же	2	2
149	отношение к	2	2
150	во второй	2	2
151	но еще	2	2
152	и тогда	2	2
153	как мы	2	2
154	внимание на	3	2
155	так же	3	2
156	как раз	4	2
157	и только	2	2
158	еще и	2	2
159	человека в	4	2
160	того чтобы	4	2
161	для того	4	2
162	о которой	2	2
163	в принципе	2	2
164	жизни как	5	2
165	своей жизни	4	2
166	с ними	3	2
167	и на	3	2
168	и с	6	2
169	автора и	2	2
170	тем что	6	2
171	и об	2	2
172	подобно тому	4	2
173	на себя	3	2
174	же самое	3	2
175	его в	2	2
176	в первом	2	2
177	здесь не	2	2
178	ответственности перед	2	2
