N	2gram	Kanaev_Sov_1	Formalny
1	и в	7	24
2	в его	2	23
3	прежде всего	5	22
4	и не	6	20
5	и пр	2	17
6	не может	17	16
7	точки зрения	12	16
8	в этом	7	15
9	в нем	3	14
10	может быть	12	14
11	с точки	5	13
12	таким образом	11	13
13	не менее	2	11
14	как и	6	11
15	в настоящее	2	10
16	то же	3	10
17	а не	3	10
18	настоящее время	2	10
19	и потому	3	9
20	все это	3	9
21	в свою	2	8
22	не в	3	8
23	не только	4	7
24	жизни и	4	7
25	отнюдь не	3	6
26	и все	3	6
27	было бы	3	6
28	в том	4	6
29	в этой	3	6
30	самом деле	2	6
31	свою очередь	2	6
32	еще не	3	6
33	как бы	4	6
34	в целом	4	6
35	а в	4	6
36	все эти	5	6
37	в живом	2	6
38	у нас	3	5
39	при этом	3	5
40	в самом	2	5
41	как мы	2	5
42	но в	3	5
43	и к	3	4
44	всяком случае	2	4
45	при таком	3	4
46	быть и	2	4
47	что в	2	4
48	с одной	2	4
49	в которой	2	4
50	во всяком	2	4
51	то ни	2	3
52	он должен	2	3
53	ясно что	3	3
54	с помощью	4	3
55	зависимости от	4	3
56	в каждом	8	3
57	со всеми	2	3
58	все же	3	3
59	значение в	2	3
60	отличается от	3	3
61	представлять себе	2	3
62	или же	2	3
63	мы не	9	3
64	и наконец	5	3
65	и даже	2	3
66	в себе	3	3
67	так сказать	2	3
68	в области	3	3
69	в нашем	2	2
70	в зависимости	4	2
71	это не	4	2
72	с этим	2	2
73	в одном	3	2
74	в системе	3	2
75	вопрос о	4	2
76	не можем	7	2
77	уже не	2	2
78	мы видели	4	2
79	но все	2	2
80	каждого из	2	2
81	тот или	2	2
82	одна из	3	2
83	если мы	4	2
84	на их	2	2
85	каждого элемента	4	2
86	нет и	4	2
87	вместе с	4	2
88	не дает	2	2
89	он в	3	2
90	и что	2	2
91	приводит к	2	2
92	в науке	2	2
93	в результате	6	2
94	на его	2	2
95	ничего не	6	2
96	если же	2	2
97	что такое	2	2
