N	2gram	Bakhtin_Pr_3	Myslijsy
1	потому что	5	52
2	то есть	48	42
3	и в	53	39
4	может быть	12	27
5	в том	14	26
6	только в	4	25
7	что в	2	22
8	не может	2	22
9	а не	11	21
10	так как	7	21
11	не только	4	21
12	в нем	10	20
13	но и	7	20
14	и не	15	18
15	том что	5	16
16	не в	2	15
17	в этом	8	15
18	так и	6	13
19	по отношению	2	13
20	в себе	5	13
21	таким образом	6	13
22	было бы	5	12
23	мы не	4	10
24	то что	9	10
25	как в	7	10
26	могут быть	4	9
27	как и	11	9
28	тем что	2	9
29	но в	5	9
30	но не	5	8
31	вместе с	2	8
32	точки зрения	4	8
33	с другой	2	7
34	на язык	4	7
35	в ней	7	7
36	в истории	3	7
37	с этим	2	7
38	это не	6	7
39	в этих	5	7
40	не менее	3	6
41	тем не	2	6
42	еще не	5	6
43	как бы	14	6
44	что и	3	6
45	то же	6	6
46	при этом	3	6
47	и по	3	6
48	для всех	2	5
49	вовсе не	3	5
50	несмотря на	2	5
51	но это	3	5
52	и потому	5	5
53	которые мы	2	5
54	в его	8	5
55	во всех	12	5
56	а в	2	5
57	и для	4	5
58	и его	10	5
59	в таком	2	5
60	между тем	2	5
61	быть только	2	5
62	никогда не	2	4
63	прежде всего	15	4
64	в смысле	2	4
65	мы видели	2	4
66	мы видим	2	4
67	от него	3	4
68	же время	5	4
69	в своих	2	4
70	в каждом	4	4
71	мысли о	2	4
72	с духом	2	4
73	не было	4	4
74	и других	9	4
75	и даже	2	4
76	в более	4	4
77	во всем	2	4
78	в то	5	4
79	слова и	3	4
80	прежде чем	2	3
81	что это	2	3
82	в них	2	3
83	и во	4	3
84	и от	3	3
85	и это	3	3
86	бытия и	2	3
87	в жизни	8	3
88	самого начала	4	3
89	так например	2	3
90	с самого	3	3
91	того же	2	3
92	в своей	3	3
93	и их	2	3
94	и тем	2	3
95	в мире	5	3
96	и той	2	3
97	в самом	2	3
98	и без	3	3
99	той же	5	3
100	с ним	2	3
101	сказать что	10	3
102	хотя и	4	3
103	он не	3	3
104	в сознании	2	3
105	и вообще	3	3
106	с точки	2	3
107	мы должны	4	3
108	и все	10	3
109	а между	2	3
110	и с	6	3
111	и более	2	2
112	но он	2	2
113	на все	2	2
114	связь с	2	2
115	значение и	2	2
116	в собственном	2	2
117	что именно	2	2
118	к одному	2	2
119	как мы	5	2
120	жизни и	9	2
121	если б	7	2
122	в сущности	10	2
123	и если	3	2
124	одним из	3	2
125	к другим	2	2
126	проявляется в	4	2
127	в их	2	2
128	тем более	2	2
129	в разных	4	2
130	времени и	2	2
131	еще более	5	2
132	перейти к	2	2
133	с какою	2	2
134	ко всем	2	2
135	хотя бы	2	2
136	даже и	2	2
137	влияние на	12	2
138	в начале	2	2
139	как будто	2	2
140	все то	3	2
141	в один	2	2
142	о том	2	2
143	нет ничего	2	2
144	есть в	3	2
145	так сказать	5	2
146	в которой	2	2
147	которые не	2	2
148	и которые	2	2
149	мы можем	5	2
