N	2gram	Vygotskiy__2	FransuaR
1	и в	32	41
2	то есть	21	24
3	во всех	3	17
4	таким образом	21	17
5	в нем	4	16
6	и с	4	16
7	и его	7	13
8	но и	10	13
9	в этом	13	12
10	все это	5	11
11	все эти	7	11
12	в самом	12	10
13	не только	12	10
14	так как	12	10
15	то что	21	10
16	и на	5	9
17	и все	4	9
18	о том	6	9
19	никогда не	9	8
20	в сущности	7	8
21	в этой	6	8
22	но в	3	8
23	в них	2	7
24	вовсе не	2	7
25	том что	21	7
26	как бы	6	7
27	и до	4	7
28	в особенности	2	7
29	как и	10	7
30	что в	20	7
31	в его	2	7
32	что он	13	6
33	мы видим	4	6
34	например в	3	6
35	один из	3	6
36	вместе с	2	6
37	также и	2	6
38	сказать что	7	6
39	в то	5	6
40	то же	13	5
41	с его	2	5
42	в одном	2	5
43	в ее	2	5
44	так же	18	5
45	же время	2	5
46	человеческого тела	2	5
47	и он	3	5
48	из них	4	5
49	так и	3	5
50	и что	22	5
51	той же	8	5
52	тем что	9	5
53	но он	3	5
54	в себе	2	5
55	во всем	3	5
56	там где	2	5
57	что это	8	5
58	все время	6	4
59	с другой	3	4
60	та же	3	4
61	и от	2	4
62	роль в	2	4
63	и как	7	4
64	не в	8	4
65	и вообще	2	4
66	все что	2	4
67	тот же	6	4
68	в ней	5	4
69	все же	4	4
70	не может	17	4
71	как в	9	4
72	самом деле	16	4
73	именно на	2	4
74	того чтобы	14	4
75	и даже	5	4
76	а в	4	4
77	в основе	11	4
78	того же	2	4
79	из этого	4	4
80	с этой	4	3
81	с этим	4	3
82	на все	5	3
83	как во	2	3
84	мы будем	2	3
85	но это	2	3
86	до сих	5	3
87	было бы	11	3
88	и сам	4	3
89	и их	3	3
90	в искусстве	21	3
91	никак не	4	3
92	в него	2	3
93	жизни и	4	3
94	сих пор	5	3
95	не остается	2	3
96	и для	4	3
97	этом отношении	5	3
98	при этом	13	3
99	и не	10	3
100	те же	6	3
101	того что	8	3
102	что не	3	3
103	к нему	2	3
104	есть только	5	3
105	с другими	2	3
106	в данном	4	3
107	только в	7	3
108	в чем	4	3
109	потому что	21	3
110	не могут	3	2
111	что если	6	2
112	в частности	3	2
113	в этих	2	2
114	понятно что	2	2
115	для этого	3	2
116	значение в	2	2
117	одного и	2	2
118	в конце	3	2
119	что все	9	2
120	представление о	3	2
121	что именно	3	2
122	если мы	12	2
123	для нас	2	2
124	из самых	2	2
125	в том	37	2
126	так что	3	2
127	тем более	2	2
128	что они	7	2
129	на этом	3	2
130	но не	2	2
131	а на	4	2
132	до конца	3	2
133	и часто	2	2
134	и тот	2	2
135	может быть	18	2
136	в своей	3	2
137	он не	6	2
138	и когда	4	2
139	данном случае	4	2
140	есть нечто	2	2
141	другой стороны	2	2
142	как раз	5	2
143	не на	2	2
144	которых мы	3	2
145	еще более	3	2
146	как это	4	2
147	мы находим	2	2
148	из того	2	2
149	и сейчас	3	2
150	но эта	2	2
151	заключается в	12	2
152	а не	7	2
153	и у	2	2
154	с точки	10	2
155	и те	4	2
156	мы не	3	2
157	каждый из	2	2
158	и то	3	2
159	их в	2	2
160	между тем	4	2
161	образом в	3	2
162	говорит он	4	2
163	он в	3	2
164	точки зрения	17	2
165	на его	2	2
166	состоит из	2	2
167	как он	2	2
168	тогда когда	3	2
169	в романе	2	2
170	как она	4	2
171	это было	3	2
