N	2gram	Trubetskoy_1	Myshleni
1	в том	17	28
2	и в	14	28
3	то что	13	28
4	в этом	17	27
5	того что	3	24
6	потому что	5	22
7	не может	22	19
8	том что	9	19
9	таким образом	11	18
10	что он	6	18
11	только в	5	18
12	что в	4	17
13	в силу	2	17
14	не только	9	16
15	так же	2	15
16	может быть	9	13
17	точки зрения	11	13
18	тому что	2	11
19	и не	19	11
20	как бы	4	11
21	к тому	7	10
22	но и	10	10
23	от того	4	10
24	по отношению	2	10
25	так как	4	10
26	но не	4	10
27	того чтобы	8	10
28	с точки	9	10
29	между собой	5	9
30	было бы	5	9
31	мы можем	2	9
32	никогда не	5	8
33	в самом	3	8
34	еще не	3	8
35	тем самым	2	8
36	для того	6	8
37	тем что	3	8
38	если бы	6	7
39	в нем	5	7
40	в своем	6	7
41	что оно	3	7
42	он не	5	7
43	вместе с	4	7
44	то же	11	7
45	можно было	4	7
46	и к	6	6
47	так что	2	6
48	и как	3	6
49	и что	2	6
50	для него	6	6
51	в то	10	6
52	тогда когда	4	6
53	его в	4	6
54	как и	4	6
55	приводит к	4	6
56	в области	2	6
57	не могут	4	5
58	вопрос о	5	5
59	друг с	14	5
60	и тем	2	5
61	на этой	2	5
62	и на	5	5
63	но в	2	5
64	что все	3	5
65	с тем	6	5
66	то в	3	5
67	том же	2	5
68	с другом	14	5
69	в этой	4	5
70	именно в	3	4
71	в частности	2	4
72	на то	5	4
73	не в	4	4
74	но если	3	4
75	целый ряд	2	4
76	с этим	2	4
77	друг друга	3	4
78	в сознании	3	4
79	знаем что	3	4
80	он должен	5	4
81	ясно что	2	4
82	в качестве	3	4
83	что и	3	4
84	во всех	5	4
85	ко всем	3	4
86	и то	4	4
87	в себе	9	4
88	зависит от	2	3
89	из этих	3	3
90	совершенно очевидно	2	3
91	это есть	2	3
92	отличается от	2	3
93	что с	2	3
94	при этом	5	3
95	но мы	3	3
96	в их	4	3
97	как на	8	3
98	и только	5	3
99	и по	3	3
100	в своих	6	3
101	больше чем	2	3
102	каждого отдельного	2	3
103	представить себе	2	3
104	по себе	2	3
105	связи с	3	3
106	до сих	5	3
107	мы должны	7	3
108	в его	4	3
109	только к	3	3
110	сих пор	5	3
111	а не	2	3
112	что такое	2	3
113	этот вопрос	2	3
114	и т.д	4	3
115	отношении к	2	3
116	отношения к	2	3
117	он сам	3	2
118	всю свою	2	2
119	в меру	2	2
120	в этих	2	2
121	друг другу	2	2
122	для этого	3	2
123	точку зрения	4	2
124	в конце	3	2
125	это в	2	2
126	прежде всего	8	2
127	к которой	6	2
128	для нас	2	2
129	но это	2	2
130	и более	2	2
131	является не	2	2
132	самом деле	7	2
133	несмотря на	3	2
134	и от	2	2
135	и является	2	2
136	но совершенно	2	2
137	себе и	4	2
138	в котором	2	2
139	из них	3	2
140	все это	6	2
141	все эти	2	2
142	на том	3	2
143	и наконец	2	2
144	в других	2	2
145	остается в	2	2
146	приходит к	3	2
147	от него	2	2
148	с ним	2	2
149	состоит в	2	2
150	у него	2	2
151	для всех	6	2
152	были бы	2	2
153	этом случае	3	2
154	по существу	5	2
155	последнее время	2	2
156	она не	2	2
157	мы уже	2	2
158	по самому	2	2
159	в своей	5	2
160	из этого	3	2
161	могут не	2	2
162	все же	4	2
163	ее в	2	2
164	всем этим	2	2
165	только на	2	2
166	а в	5	2
167	в значительной	3	2
168	в данном	7	2
169	в другом	3	2
170	что они	3	2
171	значительной мере	2	2
172	в совершенно	4	2
173	при котором	3	2
