N	2gram	Bakhtin_Fr_7	VelikijI
1	и не	7	20
2	и в	41	16
3	то что	8	9
4	так как	3	9
5	еще не	2	8
6	и потому	3	7
7	на земле	4	7
8	а не	2	7
9	не есть	2	6
10	в мире	3	5
11	хотя и	4	5
12	как бы	7	5
13	но и	9	5
14	все это	10	5
15	что есть	2	5
16	того что	2	5
17	в силах	2	4
18	и есть	3	4
19	что все	2	4
20	в образе	4	4
21	что он	3	4
22	в нем	7	4
23	как и	14	4
24	все что	4	4
25	так и	10	4
26	потому что	5	4
27	в этом	15	4
28	в ней	5	4
29	и все	14	4
30	в его	12	4
31	с его	2	3
32	что в	9	3
33	по этому	3	3
34	в этих	2	3
35	в них	7	3
36	они в	2	3
37	в конце	8	3
38	ни в	6	3
39	в том	11	3
40	не в	9	3
41	но это	3	3
42	тот же	2	3
43	к тому	2	3
44	во всех	3	3
45	никогда не	2	3
46	оно не	2	3
47	что и	5	3
48	жизни и	3	3
49	в своей	3	3
50	не было	3	3
51	за то	3	3
52	не имеет	3	3
53	и для	5	3
54	должно быть	4	3
55	их в	2	3
56	от этого	3	3
57	все эти	13	3
58	в чем	2	3
59	но в	8	3
60	в земной	2	2
61	это не	6	2
62	прежде всего	11	2
63	его к	3	2
64	том что	4	2
65	одна из	4	2
66	они и	2	2
67	для него	6	2
68	земли и	3	2
69	так много	3	2
70	и во	2	2
71	не только	5	2
72	на том	2	2
73	всего в	5	2
74	в форме	3	2
75	и новые	2	2
76	тем что	3	2
77	в себя	2	2
78	мы не	2	2
79	уже не	2	2
80	а в	5	2
81	с ним	2	2
82	можно было	3	2
83	и то	2	2
84	только в	6	2
85	превращаются в	2	2
86	и это	5	2
87	во всяком	2	2
88	мира в	4	2
