N	2gram	Tiupa_Disk_2	Mirosoze
1	и в	16	46
2	в нем	7	22
3	может быть	16	21
4	в этом	16	20
5	никогда не	2	18
6	для него	5	18
7	и не	15	18
8	не только	10	18
9	но и	11	15
10	не может	9	15
11	человека в	4	14
12	ведет к	3	13
13	как и	16	13
14	а не	14	13
15	прежде всего	7	12
16	потому что	4	12
17	не было	3	11
18	в ней	2	11
19	но в	11	10
20	он не	3	10
21	в себе	19	10
22	не в	3	9
23	не знает	3	9
24	но это	3	8
25	как бы	4	8
26	в своем	5	8
27	отношение к	2	8
28	в мире	11	7
29	в этой	4	7
30	что он	2	7
31	как в	8	7
32	и для	2	7
33	жизни и	3	6
34	в русской	3	6
35	то же	6	5
36	это не	3	5
37	и все	3	5
38	по преимуществу	2	5
39	то что	5	5
40	в своей	6	5
41	и его	3	5
42	в его	3	5
43	и это	2	5
44	что в	5	4
45	также и	3	4
46	с его	6	4
47	том что	10	4
48	что и	2	4
49	себя в	6	4
50	так и	9	4
51	уже не	3	4
52	же как	2	3
53	к которой	2	3
54	ни в	7	3
55	в том	8	3
56	было в	3	3
57	момент в	2	3
58	жизни в	3	3
59	в своих	6	3
60	и на	5	3
61	и с	2	3
62	по своей	6	3
63	о том	4	3
64	его в	3	3
65	в них	3	3
66	на почве	2	3
67	той же	2	3
68	только в	3	3
69	есть в	2	3
70	в творчестве	3	3
71	жизни не	2	2
72	место в	2	2
73	в этих	3	2
74	бессмертие и	2	2
75	или иной	3	2
76	я и	4	2
77	со своим	2	2
78	такого рода	9	2
79	жизни а	3	2
80	не к	2	2
81	но она	3	2
82	по отношению	4	2
83	чем не	2	2
84	должно быть	2	2
85	а в	2	2
86	в основе	4	2
87	не о	2	2
88	точки зрения	4	2
89	между тем	2	2
90	в пределе	3	2
91	личности в	2	2
92	интерес к	2	2
93	мысль о	3	2
94	еще в	3	2
95	с таким	2	2
96	отношению к	4	2
97	принадлежит к	3	2
98	вместе с	2	2
99	что же	2	2
100	человеческой жизни	2	2
101	другого в	2	2
102	к своему	2	2
103	более чем	2	2
104	тому как	2	2
105	подобно тому	2	2
106	как будто	3	2
