N	2gram	Bakhtin_Fr_7	OGranits
1	и в	41	13
2	и его	9	12
3	прежде всего	11	9
4	не может	3	8
5	и не	7	8
6	может быть	4	8
7	и их	3	7
8	и т.п	9	7
9	точки зрения	5	7
10	в его	12	7
11	таким образом	19	6
12	не только	5	6
13	то что	8	6
14	только в	6	6
15	как бы	7	6
16	с точки	3	5
17	и эта	3	5
18	и т.д	2	5
19	и наконец	4	5
20	в процессе	2	5
21	то же	13	4
22	в своей	3	4
23	все это	10	4
24	мы не	2	4
25	слов и	4	4
26	было бы	4	4
27	но в	8	4
28	отношению к	2	3
29	что в	9	3
30	никогда не	2	3
31	но и	9	3
32	так и	10	3
33	в их	3	3
34	по отношению	2	3
35	и все	14	3
36	в одном	3	3
37	как и	14	3
38	не в	9	3
39	в которой	2	3
40	и то	2	3
41	одно и	2	3
42	в себе	11	3
43	с этим	2	3
44	и для	5	3
45	так как	3	3
46	и др	2	2
47	уже в	5	2
48	в нем	7	2
49	может иметь	2	2
50	он только	2	2
51	во всей	2	2
52	связанных с	3	2
53	своего рода	2	2
54	а не	2	2
55	в отношении	3	2
56	во времени	2	2
57	может стать	2	2
58	не на	3	2
59	в них	7	2
60	в связи	2	2
61	а в	5	2
62	в течение	2	2
63	все эти	13	2
64	вовсе не	7	2
65	роль в	2	2
66	есть не	2	2
67	с самого	2	2
68	к тому	2	2
69	и к	5	2
70	как в	5	2
71	все явления	2	2
72	в чем	2	2
73	не имеет	3	2
74	в том	11	2
75	так же	5	2
76	не мог	2	2
77	том что	4	2
78	мы видим	6	2
79	с ними	3	2
80	с помощью	6	2
81	в данном	2	2
82	в этом	15	2
83	от этого	3	2
84	учение о	2	2
85	тем что	3	2
86	при этом	3	2
87	связанные с	3	2
88	и ее	2	2
89	для него	6	2
90	в руках	3	2
91	тот же	2	2
92	и может	2	2
93	несмотря на	3	2
94	мы уже	12	2
95	в области	2	2
96	бы в	2	2
97	в ней	5	2
98	а также	2	2
99	явлений и	2	2
