N	2gram	Medvedev_F_2	Freidism
1	таким образом	20	24
2	и не	20	23
3	не может	14	20
4	точки зрения	8	19
5	прежде всего	15	18
6	и пр	21	15
7	в этом	27	15
8	в его	10	15
9	с помощью	10	14
10	может быть	23	13
11	и его	21	12
12	как и	9	11
13	как бы	4	11
14	то что	6	11
15	все эти	6	11
16	с точки	7	11
17	так и	8	10
18	как мы	7	10
19	самом деле	8	10
20	его в	3	10
21	с ним	2	10
22	но в	4	10
23	с его	11	9
24	и в	38	9
25	во всех	5	9
26	что он	5	8
27	в своей	7	8
28	он не	6	8
29	не только	9	8
30	все это	3	8
31	то же	6	8
32	только в	6	8
33	и все	3	8
34	так как	4	8
35	мы знаем	3	7
36	ни в	2	7
37	к нему	3	7
38	во всяком	5	7
39	один из	2	7
40	мы видели	4	7
41	отношение к	2	7
42	в самом	16	7
43	что же	5	7
44	и наконец	4	7
45	сказать что	2	7
46	всяком случае	5	7
47	никогда не	2	6
48	вовсе не	11	6
49	и ее	6	6
50	для него	7	6
51	того что	3	6
52	в ней	6	6
53	так сказать	3	6
54	совершенно не	4	6
55	хотя бы	6	6
56	и с	9	6
57	и к	4	5
58	не в	15	5
59	в этой	6	5
60	в чем	2	5
61	для этого	2	5
62	в то	5	5
63	в большинстве	4	5
64	что в	7	5
65	но и	13	5
66	и прежде	3	5
67	на самом	3	5
68	для того	3	5
69	а в	6	5
70	и на	3	5
71	могут быть	6	5
72	с этим	5	5
73	большинстве случаев	3	5
74	но не	2	4
75	в котором	2	4
76	и др	3	4
77	в этих	2	4
78	то ни	2	4
79	из этих	3	4
80	в пределах	12	4
81	если мы	5	4
82	с другими	10	4
83	к тому	4	4
84	сводится к	5	4
85	всех этих	3	4
86	же время	5	4
87	на этом	2	4
88	при этом	9	4
89	и о	2	4
90	как раз	6	4
91	в основе	5	4
92	в зависимости	3	4
93	в нем	13	4
94	все же	8	4
95	нигде не	2	4
96	не было	6	4
97	между ними	2	4
98	уже не	7	4
99	того чтобы	3	4
100	с самого	2	4
101	и для	5	4
102	совсем не	2	4
103	в которой	2	4
104	мы не	3	4
105	в таком	2	4
106	с ними	2	4
107	этот вопрос	2	4
108	потому что	2	4
109	говорить о	5	4
110	зависимости от	3	4
111	отца с	2	4
112	не могут	7	3
113	самого начала	2	3
114	главным образом	3	3
115	если бы	5	3
116	тому что	2	3
117	во втором	7	3
118	от всех	2	3
119	и от	2	3
120	первый период	6	3
121	а только	2	3
122	он был	2	3
123	и как	3	3
124	но это	2	3
125	она не	2	3
126	и может	3	3
127	было бы	6	3
128	в общем	5	3
129	ни о	5	3
130	ни на	2	3
131	ее в	2	3
132	жизни и	3	3
133	вместе с	6	3
134	со стороны	2	3
135	приводит к	2	3
136	тому чтобы	2	3
137	как в	4	3
138	и по	2	3
139	между двумя	2	3
140	такой же	3	3
141	при анализе	2	3
142	в искусстве	2	3
143	но ведь	3	3
144	слова и	7	3
145	и этим	2	3
146	подхода к	2	3
147	не является	3	3
148	борьбы с	2	2
149	этих двух	2	2
150	уже в	2	2
151	по учению	4	2
152	но все	3	2
153	и другие	2	2
154	что это	3	2
155	быть и	3	2
156	в какой	3	2
157	с другой	3	2
158	это не	2	2
159	оно не	4	2
160	формы и	2	2
161	произведение искусства	2	2
162	в конце	2	2
163	и теперь	4	2
164	к этому	4	2
165	в такой	2	2
166	для понимания	6	2
167	или вовсе	2	2
168	ничем не	2	2
169	для всего	2	2
170	в ее	2	2
171	до конца	2	2
172	от всей	2	2
173	это и	5	2
174	том что	2	2
175	более того	5	2
176	высшей степени	4	2
177	из всего	3	2
178	первом периоде	3	2
179	всего этого	5	2
180	чем он	4	2
181	а не	6	2
182	из них	4	2
183	на один	2	2
184	с сыном	2	2
185	к другим	2	2
186	как ее	3	2
187	в процессе	9	2
188	конце концов	2	2
189	со всею	2	2
190	на почве	9	2
191	для нее	2	2
192	и до	3	2
193	в развитии	2	2
194	являются только	2	2
195	во второй	2	2
196	в их	6	2
197	только на	3	2
198	во всей	2	2
199	от этих	2	2
200	этом отношении	7	2
201	что оно	4	2
202	в отличие	2	2
203	не приходится	3	2
204	в систему	2	2
205	в высшей	4	2
206	тем же	3	2
207	и даже	4	2
208	отличие от	2	2
209	роль в	3	2
210	социального общения	4	2
211	и то	2	2
212	их в	2	2
213	от этого	3	2
214	правда в	2	2
215	чем же	3	2
216	единства и	2	2
217	они не	4	2
218	что и	8	2
219	в первый	5	2
220	к его	2	2
221	но как	2	2
222	речи и	3	2
223	период развития	3	2
224	при помощи	2	2
225	в первом	7	2
226	как это	2	2
227	в области	3	2
228	второй период	2	2
229	в виду	2	2
230	это было	3	2
