N	2gram	Trubetskoy_1	Formalny
1	и в	23	38
2	в этом	12	27
3	может быть	16	23
4	таким образом	31	20
5	и не	8	20
6	в самом	8	16
7	прежде всего	3	15
8	не в	8	15
9	не может	17	14
10	в нем	3	13
11	но и	9	13
12	связи с	4	13
13	с тем	2	11
14	в том	30	11
15	вовсе не	2	11
16	в его	5	10
17	в связи	3	10
18	и с	5	9
19	как и	9	9
20	при этом	9	9
21	в процессе	2	9
22	не только	7	9
23	на почве	3	9
24	отнюдь не	2	8
25	что и	7	8
26	все же	13	8
27	так и	10	8
28	самом деле	12	8
29	точки зрения	13	8
30	что в	8	7
31	не могут	4	7
32	для него	2	7
33	по существу	6	7
34	во втором	2	7
35	как мы	2	7
36	лишь в	5	7
37	с точки	8	7
38	не было	2	6
39	в результате	9	6
40	то что	18	6
41	в истории	3	6
42	и ее	2	6
43	в ней	3	6
44	в этой	6	6
45	было бы	3	6
46	вместе с	6	6
47	в их	4	6
48	то же	4	6
49	все эти	19	6
50	он не	3	6
51	только в	6	6
52	а в	3	6
53	хотя бы	4	6
54	в общем	6	5
55	должна быть	5	5
56	если бы	8	5
57	что он	7	5
58	именно в	5	5
59	же время	2	5
60	во всех	10	5
61	если мы	4	5
62	что же	2	5
63	с этим	11	5
64	и только	2	5
65	и для	6	5
66	сводится к	2	5
67	в основе	2	5
68	говорить о	2	5
69	в то	6	5
70	бы в	3	5
71	во всяком	2	5
72	всяком случае	2	5
73	независимо от	2	4
74	к этому	5	4
75	к тому	8	4
76	мы видели	2	4
77	в дальнейшем	2	4
78	что они	2	4
79	в сторону	2	4
80	совершенно не	3	4
81	в сущности	2	4
82	как бы	10	4
83	и к	5	4
84	из них	5	4
85	другой стороны	5	4
86	что оно	3	4
87	и наконец	3	4
88	от нее	2	4
89	они не	2	4
90	так как	7	4
91	но в	4	4
92	а лишь	2	3
93	всех этих	4	3
94	же как	3	3
95	и может	3	3
96	с другой	6	3
97	из этих	8	3
98	мы знаем	10	3
99	а наоборот	3	3
100	но все	5	3
101	следует что	2	3
102	не есть	2	3
103	в целом	5	3
104	жизни и	2	3
105	и их	5	3
106	быть и	5	3
107	и до	3	3
108	все это	11	3
109	то и	2	3
110	на самом	7	3
111	к нему	2	3
112	такой же	2	3
113	того что	6	3
114	того чтобы	8	3
115	для того	8	3
116	между этими	2	3
117	тем же	2	3
118	каждый из	3	3
119	и на	6	3
120	хотя и	4	3
121	как к	5	3
122	и все	7	3
123	его в	5	3
124	что это	5	3
125	в области	4	3
126	не то	3	3
127	борьбы с	2	2
128	между двумя	5	2
129	и более	2	2
130	никогда не	4	2
131	по этому	2	2
132	в этих	3	2
133	тому что	2	2
134	для этого	7	2
135	столь же	5	2
136	это не	3	2
137	в такой	4	2
138	в конце	4	2
139	этих двух	2	2
140	представление о	3	2
141	между ними	2	2
142	ее и	3	2
143	или вовсе	2	2
144	в тех	3	2
145	том что	19	2
146	том случае	4	2
147	то в	2	2
148	от него	3	2
149	но не	2	2
150	очевидно что	3	2
151	но как	2	2
152	от тех	3	2
153	она не	2	2
154	может лежать	2	2
155	на первый	2	2
156	лишь о	2	2
157	конце концов	4	2
158	в котором	2	2
159	даже в	3	2
160	не так	4	2
161	не будет	5	2
162	отношение к	4	2
163	а к	2	2
164	на этом	2	2
165	то ни	3	2
166	они должны	3	2
167	и других	2	2
168	в в	4	2
169	тем самым	3	2
170	и по	3	2
171	должно быть	4	2
172	что для	4	2
173	отличие от	3	2
174	в таком	4	2
175	с ними	2	2
176	этот вопрос	2	2
177	и то	4	2
178	их в	2	2
179	между тем	12	2
180	ничем не	4	2
181	широком смысле	2	2
182	и от	5	2
183	совершенно иной	2	2
184	своем развитии	3	2
185	если же	3	2
186	при помощи	3	2
187	и это	3	2
188	из этого	6	2
189	что эта	4	2
190	этими двумя	2	2
191	потому что	9	2
192	в которой	5	2
193	с ним	6	2
194	та же	3	2
195	если это	2	2
196	в виду	2	2
197	из него	2	2
