N	2gram	Tiupa_Lite_1	Freidism
1	таким образом	3	24
2	и не	12	23
3	не может	5	20
4	точки зрения	6	19
5	прежде всего	11	18
6	в этом	12	15
7	в его	7	15
8	в душе	3	13
9	может быть	13	13
10	и его	4	12
11	как и	6	11
12	как бы	7	11
13	то что	10	11
14	все эти	2	11
15	с точки	2	11
16	так и	4	10
17	самом деле	2	10
18	его в	3	10
19	но в	3	10
20	с его	5	9
21	в сознание	3	9
22	и в	8	9
23	по отношению	3	9
24	что он	5	8
25	отношению к	2	8
26	еще не	4	8
27	в своей	4	8
28	не только	24	8
29	то же	5	8
30	только в	8	8
31	во всяком	3	7
32	один из	3	7
33	в самом	3	7
34	всяком случае	2	7
35	никогда не	4	6
36	для него	2	6
37	за пределы	2	6
38	того что	6	6
39	хотя бы	2	6
40	к смерти	2	6
41	не в	8	5
42	в этой	4	5
43	для этого	4	5
44	в то	5	5
45	что такое	2	5
46	что в	3	5
47	но и	17	5
48	и прежде	3	5
49	в себя	2	5
50	а в	3	5
51	могут быть	2	5
52	я и	7	5
53	не менее	7	4
54	но не	4	4
55	я не	7	4
56	и др	3	4
57	из этих	2	4
58	в пределах	3	4
59	в жизни	6	4
60	к тому	2	4
61	сводится к	3	4
62	же время	5	4
63	на этом	2	4
64	при этом	19	4
65	как раз	4	4
66	в основе	3	4
67	в нем	2	4
68	все же	4	4
69	данном случае	4	4
70	не было	3	4
71	уже не	7	4
72	той же	3	4
73	с их	3	4
74	в данном	5	4
75	потому что	3	4
76	и есть	3	3
77	конечном счете	4	3
78	во втором	2	3
79	о себе	4	3
80	на себя	2	3
81	к себе	3	3
82	в конечном	5	3
83	а только	2	3
84	в себе	7	3
85	это как	2	3
86	по поводу	2	3
87	было бы	2	3
88	себя в	6	3
89	только то	2	3
90	жизни и	3	3
91	со стороны	4	3
92	приводит к	3	3
93	как в	5	3
94	и т.п	4	3
95	у него	3	3
96	в искусстве	2	3
97	одна из	3	3
98	не является	2	3
99	человека и	2	3
100	в сознании	2	3
101	уже в	5	2
102	этого не	2	2
103	это уже	2	2
104	для себя	5	2
105	того же	2	2
106	с другой	3	2
107	это не	4	2
108	произведение искусства	8	2
109	в конце	4	2
110	для понимания	2	2
111	тем не	2	2
112	быть это	3	2
113	да и	3	2
114	том что	14	2
115	самого себя	3	2
116	а не	16	2
117	не остается	2	2
118	в нашей	2	2
119	одной стороны	2	2
120	из них	4	2
121	на один	2	2
122	не тот	2	2
123	так называемый	2	2
124	относится к	2	2
125	в своем	11	2
126	на почве	2	2
127	для нее	2	2
128	дело не	2	2
129	все они	2	2
130	в их	3	2
131	только на	2	2
132	для своего	2	2
133	этом отношении	2	2
134	освободиться от	2	2
135	с одной	2	2
136	сознания в	12	2
137	а потому	2	2
138	из того	2	2
139	в отличие	5	2
140	окружающей его	2	2
141	чтобы не	2	2
142	тем же	3	2
143	и даже	3	2
144	отличие от	5	2
145	роль в	2	2
146	мир в	4	2
147	и то	2	2
148	нуждается в	3	2
149	в своих	4	2
150	является по	2	2
151	в другом	2	2
152	тех же	3	2
153	как это	8	2
154	в области	3	2
155	в виду	3	2
