N	2gram	Voloshinov_1	RusskieA
1	и в	38	29
2	том что	3	22
3	в том	2	22
4	как бы	28	18
5	может быть	13	13
6	так как	7	13
7	как и	10	11
8	в этом	10	11
9	все это	4	10
10	и с	5	10
11	не только	27	10
12	а на	2	9
13	о том	4	9
14	а в	5	9
15	но и	13	8
16	его в	4	8
17	мы видели	5	7
18	как в	2	7
19	или в	2	7
20	с тем	8	6
21	мы не	9	6
22	этом случае	3	6
23	еще не	3	6
24	для того	9	6
25	для нас	3	6
26	вместе с	5	6
27	таким образом	7	6
28	при этом	9	6
29	того чтобы	7	6
30	и на	6	6
31	мы имеем	2	6
32	потому что	5	5
33	это не	3	5
34	к этому	2	5
35	должна была	2	5
36	то что	8	5
37	но не	2	5
38	с ней	2	5
39	не может	12	5
40	но в	5	5
41	видели что	3	4
42	и все	4	4
43	вопрос о	2	4
44	уже не	4	4
45	не в	6	4
46	из них	3	4
47	к нему	2	4
48	так же	4	4
49	то же	14	4
50	у нас	4	4
51	а не	6	4
52	в которых	2	4
53	их в	3	4
54	как это	5	4
55	тем что	2	3
56	в этих	2	3
57	в качестве	4	3
58	и от	7	3
59	не всегда	2	3
60	должно было	3	3
61	главным образом	3	3
62	как например	2	3
63	в ее	3	3
64	связаны с	4	3
65	того что	4	3
66	было бы	7	3
67	в котором	3	3
68	с другими	2	3
69	во всех	6	3
70	связь с	2	3
71	только тогда	2	3
72	все эти	2	3
73	друг друга	2	3
74	или даже	2	3
75	как мы	9	3
76	между тем	3	3
77	в этой	6	3
78	что это	4	3
79	связь между	2	2
80	связи с	3	2
81	об этом	3	2
82	никогда не	7	2
83	связанные с	2	2
84	между собой	2	2
85	если он	3	2
86	прежде всего	21	2
87	как уже	2	2
88	не что	4	2
89	что и	3	2
90	нас не	2	2
91	кроме того	2	2
92	и как	9	2
93	и при	2	2
94	у них	2	2
95	очевидно что	2	2
96	связано с	2	2
97	для них	2	2
98	и пр	4	2
99	которые с	2	2
100	совершенно не	3	2
101	все то	2	2
102	с развитием	2	2
103	в виду	3	2
104	один из	4	2
105	должен быть	2	2
106	не с	3	2
107	все же	7	2
108	в своей	2	2
109	не к	3	2
110	природы и	2	2
111	в форме	6	2
112	вряд ли	3	2
113	влияние на	4	2
114	а с	5	2
115	не было	2	2
116	должны были	2	2
117	на самом	3	2
118	этот вопрос	2	2
119	здесь мы	3	2
120	тем и	2	2
121	из которых	3	2
122	и для	3	2
123	должно быть	2	2
124	можно было	4	2
125	а к	2	2
126	каждый из	2	2
127	в своих	2	2
128	и то	3	2
129	о происхождении	2	2
130	с этим	2	2
131	что иное	2	2
132	в то	9	2
133	в приведенных	2	2
134	представляет собой	2	2
135	когда мы	6	2
136	заметить что	2	2
137	в которой	7	2
138	та же	3	2
139	иное как	2	2
