N	2gram	Bakhtin_Fr_7	Myshleni
1	то что	8	26
2	что он	3	25
3	в этом	15	25
4	потому что	5	21
5	таким образом	19	19
6	в том	11	18
7	не может	3	18
8	точки зрения	5	18
9	что в	9	16
10	и в	41	16
11	того что	2	16
12	так как	3	16
13	не только	5	16
14	так же	5	15
15	том что	4	15
16	в сущности	4	13
17	в процессе	2	13
18	отношению к	2	12
19	по отношению	2	12
20	и не	7	12
21	в области	2	12
22	отношение к	2	11
23	в его	12	11
24	с помощью	6	10
25	было бы	4	10
26	как мы	11	10
27	а не	2	10
28	только в	6	10
29	в отношении	3	9
30	может быть	4	9
31	с точки	3	9
32	точка зрения	2	8
33	должно быть	4	8
34	о том	6	8
35	как и	14	8
36	он не	4	8
37	то же	13	8
38	тем самым	3	8
39	и есть	3	7
40	в нем	7	7
41	но он	4	7
42	того же	3	7
43	так и	10	7
44	что все	2	6
45	не в	9	6
46	в этой	13	6
47	но и	9	6
48	и на	4	6
49	как он	2	6
50	но в	8	6
51	у него	6	6
52	связанные с	3	6
53	к тому	2	6
54	в той	3	6
55	никогда не	2	5
56	в своем	9	5
57	для него	6	5
58	как бы	7	5
59	еще более	2	5
60	этом отношении	2	5
61	не знает	3	5
62	в то	10	5
63	с ним	2	5
64	тот же	2	5
65	как в	5	5
66	того как	5	5
67	с самого	2	5
68	говорит что	2	5
69	можно было	3	5
70	тем что	3	5
71	в которой	2	5
72	ничего не	4	5
73	что между	2	4
74	все эти	13	4
75	это не	6	4
76	а только	2	4
77	в новой	7	4
78	в свою	3	4
79	при этом	3	4
80	и их	3	4
81	в свете	3	4
82	именно в	2	4
83	не имеет	3	4
84	и по	3	4
85	в результате	2	4
86	бы в	2	4
87	в состоянии	2	4
88	мы видим	6	4
89	в качестве	9	4
90	еще не	2	4
91	не есть	2	4
92	вместе с	5	4
93	той же	3	4
94	и то	2	4
95	такой же	3	4
96	и т.д	2	4
97	прежде всего	11	3
98	и как	2	3
99	но это	3	3
100	свою очередь	3	3
101	до конца	2	3
102	к нему	5	3
103	мы видели	5	3
104	в их	3	3
105	а в	5	3
106	и с	4	3
107	в этих	2	3
108	мы не	2	3
109	к жизни	4	3
110	содержится в	2	3
111	с этим	2	3
112	в одном	3	3
113	к этому	5	3
114	он может	3	3
115	таким же	3	3
116	по существу	8	3
117	по своему	2	3
118	и может	2	3
119	одной из	2	3
120	что и	5	3
121	не на	3	3
122	на этом	5	3
123	как я	4	3
124	в себя	2	3
125	из которых	2	3
126	что значит	2	3
127	и его	9	3
128	в чем	2	3
129	я не	3	2
130	и другие	3	2
131	что у	3	2
132	и от	8	2
133	на всю	2	2
134	вперед по	3	2
135	но все	4	2
136	в ряде	3	2
137	в ней	5	2
138	в виду	4	2
139	в своей	3	2
140	из них	3	2
141	все это	10	2
142	свое время	2	2
143	может иметь	2	2
144	и здесь	4	2
145	но этот	3	2
146	их в	2	2
147	в более	4	2
148	том как	2	2
149	в них	7	2
150	вовсе не	7	2
151	его в	3	2
152	есть не	2	2
153	и к	5	2
154	же в	2	2
155	учение о	2	2
156	все что	4	2
157	слов и	4	2
158	со всеми	2	2
159	во второй	2	2
160	жизни и	3	2
161	в первой	2	2
162	никто не	10	2
163	в область	3	2
164	в свое	2	2
165	и потому	3	2
166	благодаря этому	2	2
167	во всех	3	2
168	находится в	2	2
169	только на	2	2
170	высшей ступени	2	2
171	во всяком	2	2
172	ту же	2	2
