N	3gram	Losev_Prob_3	Psycholo
1	в том что	9	17
2	с точки зрения	2	10
3	заключается в том	3	10
4	не может быть	5	8
5	то же самое	7	6
6	до сих пор	2	5
7	на самом деле	2	5
8	в данном случае	7	4
9	о том что	3	4
10	сам по себе	6	4
11	можно было бы	3	4
12	тем не менее	10	4
13	в то время	4	3
14	сами по себе	6	3
15	в конце концов	3	3
16	само по себе	3	3
17	в том виде	2	3
18	точно так же	3	3
19	что и в	3	3
20	по сравнению с	2	2
21	том виде как	2	2
22	только потому что	2	2
23	этой точки зрения	2	2
24	это значит что	2	2
25	бы то ни	4	2
26	во всяком случае	6	2
27	столько же сколько	2	2
28	ни в каком	4	2
29	в то же	4	2
30	и то что	7	2
31	и т д	13	2
32	то время как	4	2
33	того или иного	3	2
34	с другой стороны	5	2
