N	2gram	Potebnia_M_2	UchenyiS
1	и в	24	14
2	а не	18	10
3	не только	15	10
4	и не	19	8
5	прежде всего	7	8
6	то что	20	7
7	в этом	8	7
8	не может	12	7
9	может быть	23	6
10	хотя бы	2	5
11	перестает быть	2	5
12	все это	2	5
13	и только	6	5
14	то же	12	5
15	но и	9	4
16	с другой	6	4
17	что такое	2	4
18	но в	4	3
19	как и	7	3
20	и то	3	3
21	все же	5	3
22	очевидно что	3	3
23	же время	2	3
24	другой стороны	2	3
25	для него	10	3
26	это не	3	3
27	вряд ли	3	3
28	в то	6	3
29	не как	3	3
30	было бы	13	3
31	ни было	3	3
32	у нас	2	3
33	смысле этого	3	2
34	том что	8	2
35	но не	12	2
36	в том	18	2
37	не все	2	2
38	мы не	11	2
39	с его	2	2
40	не есть	6	2
41	крайней мере	5	2
42	не в	13	2
43	всех этих	2	2
44	и для	3	2
45	но это	3	2
46	представляется нам	5	2
47	этом смысле	2	2
48	не столько	2	2
49	если бы	11	2
50	нас в	2	2
51	только в	11	2
52	но даже	3	2
53	тем что	7	2
54	сих пор	4	2
55	могут быть	8	2
56	даже и	2	2
57	что он	4	2
58	и у	3	2
59	в себе	10	2
60	до сих	4	2
61	что мы	11	2
62	могли бы	2	2
63	что все	2	2
64	если не	4	2
65	в самом	4	2
66	не могут	7	2
67	по себе	15	2
68	в некоторых	4	2
69	превращается в	2	2
70	самом деле	2	2
71	по крайней	5	2
72	что она	3	2
73	а между	4	2
74	что и	11	2
75	в его	2	2
76	между тем	6	2
77	таким образом	11	2
78	это было	2	2
