N	2gram	Kanaev_Sov_1	Myshleni
1	в том	4	42
2	с помощью	4	31
3	таким образом	11	25
4	в развитии	4	25
5	точки зрения	12	24
6	в этом	7	24
7	и в	7	20
8	что в	2	19
9	то же	3	16
10	не только	4	15
11	как мы	2	13
12	при этом	3	12
13	может быть	12	12
14	в целом	4	11
15	в его	2	11
16	мы должны	4	11
17	с точки	5	11
18	так как	4	10
19	мы видим	2	10
20	если мы	4	10
21	в себе	3	10
22	с одной	2	9
23	как и	6	9
24	тот же	2	9
25	и не	6	8
26	и что	2	8
27	в результате	6	8
28	было бы	3	8
29	вместе с	4	8
30	друг с	2	7
31	как бы	4	7
32	же самое	2	7
33	с другом	2	7
34	самом деле	2	7
35	а не	3	7
36	могут быть	2	7
37	уже в	3	6
38	такого рода	2	6
39	мы видели	4	6
40	в самом	2	6
41	не может	17	6
42	развития в	2	6
43	той же	2	6
44	это не	4	5
45	что такое	2	5
46	между собой	3	5
47	с этим	2	5
48	и к	3	5
49	все же	3	5
50	все эти	5	5
51	мы можем	6	5
52	в нашем	2	4
53	для нас	3	4
54	из них	4	4
55	роль в	2	4
56	как он	3	4
57	тем же	2	4
58	не в	3	4
59	во всяком	2	4
60	в области	3	4
61	на этом	2	3
62	не могут	2	3
63	не менее	2	3
64	не подлежит	3	3
65	что все	2	3
66	в этой	3	3
67	в условиях	5	3
68	всяком случае	2	3
69	на его	2	3
70	но в	3	3
71	отнюдь не	3	3
72	и во	2	3
73	как известно	2	3
74	со всеми	2	3
75	в один	2	3
76	следующим образом	3	3
77	приводит к	2	3
78	совершенно не	2	3
79	на этот	2	3
80	в виде	2	3
81	в которой	2	3
82	может не	3	2
83	такой же	2	2
84	мы называем	3	2
85	в наших	3	2
86	в каждом	8	2
87	прежде всего	5	2
88	для развития	2	2
89	в настоящее	2	2
90	свою очередь	2	2
91	в свою	2	2
92	что это	2	2
93	в нем	3	2
94	отличается от	3	2
95	в отличие	2	2
96	по мнению	2	2
97	а в	4	2
98	из этих	2	2
99	ли мы	3	2
100	настоящее время	2	2
101	их в	4	2
102	когда мы	3	2
103	видели что	3	2
104	у него	2	2
105	ясно что	3	2
106	зависимости от	4	2
107	что при	2	2
108	еще не	3	2
109	в таком	2	2
110	и т.д	3	2
111	на котором	2	2
112	отличие от	2	2
