N	2gram	Tiupa_Lite_1	VelikijI
1	во имя	2	32
2	и не	12	20
3	и в	8	16
4	то что	10	9
5	еще не	4	8
6	а не	16	7
7	человека и	2	6
8	не есть	2	6
9	в мире	2	5
10	как бы	7	5
11	но и	17	5
12	того что	6	5
13	на себя	2	5
14	во мне	2	4
15	и есть	3	4
16	и я	6	4
17	что он	5	4
18	в нем	2	4
19	как и	6	4
20	так и	4	4
21	что не	2	4
22	потому что	3	4
23	в этом	12	4
24	в его	7	4
25	с его	5	3
26	должна быть	2	3
27	что в	3	3
28	по этому	2	3
29	превращается в	2	3
30	в конце	4	3
31	в жизни	6	3
32	в том	16	3
33	не в	8	3
34	что я	2	3
35	к тому	2	3
36	никогда не	4	3
37	свободы от	3	3
38	то это	2	3
39	жизни и	3	3
40	в своей	4	3
41	не было	3	3
42	лишь в	4	3
43	хотя бы	2	3
44	все эти	2	3
45	нет ничего	2	3
46	но в	3	3
47	это не	4	2
48	прежде всего	11	2
49	да и	3	2
50	том что	14	2
51	одна из	3	2
52	но не	4	2
53	не к	2	2
54	для него	2	2
55	для них	2	2
56	и сам	6	2
57	не только	24	2
58	один из	3	2
59	на том	2	2
60	освобождения от	2	2
61	всего в	3	2
62	сознания от	3	2
63	тем что	2	2
64	в себя	2	2
65	уже не	7	2
66	более чем	3	2
67	а в	3	2
68	можно было	2	2
69	и то	2	2
70	между тем	2	2
71	могут быть	2	2
72	самого себя	3	2
73	мир и	2	2
74	только в	8	2
75	во всяком	3	2
76	мира в	3	2
