N	2gram	Bakhtin_Fr_3	EvropaiE
1	и в	40	37
2	точки зрения	2	23
3	что в	12	21
4	не только	13	18
5	в то	6	16
6	хотя бы	2	15
7	то же	7	15
8	в своем	7	14
9	же время	6	14
10	но и	11	14
11	и не	13	14
12	но в	8	14
13	в этом	15	12
14	в их	4	11
15	в том	8	11
16	в области	4	11
17	так и	3	10
18	прежде всего	16	9
19	не может	3	9
20	в себе	3	9
21	только в	3	9
22	думать что	2	8
23	в ее	3	8
24	было бы	4	8
25	в своей	6	8
26	между тем	3	8
27	как и	11	7
28	а также	4	7
29	с другой	2	7
30	также и	4	7
31	так как	4	7
32	вовсе не	12	6
33	том что	4	6
34	может быть	9	6
35	для того	3	6
36	как бы	3	6
37	то что	5	6
38	во всех	6	6
39	того чтобы	4	6
40	и даже	4	6
41	и на	8	6
42	то есть	18	6
43	в частности	3	5
44	но не	2	5
45	одной из	2	5
46	как мы	10	5
47	в той	6	5
48	в течение	2	5
49	и потому	4	5
50	именно в	2	4
51	или иной	2	4
52	можно сказать	2	4
53	в самом	6	4
54	в ней	4	4
55	той или	2	4
56	даже в	4	4
57	мы не	2	4
58	сказать что	3	4
59	культурной жизни	2	4
60	и к	3	3
61	этом отношении	2	3
62	в них	9	3
63	и от	3	3
64	мы видели	3	3
65	из всех	4	3
66	того же	2	3
67	в культуре	4	3
68	из них	4	3
69	что и	3	3
70	как в	3	3
71	и для	5	3
72	и прежде	3	3
73	можно было	3	3
74	потому что	2	3
75	тем что	3	3
76	в данном	4	3
77	во все	3	3
78	о том	4	3
79	дело в	2	3
80	там где	3	3
81	а не	5	2
82	в этих	6	2
83	еще более	4	2
84	сравнению с	2	2
85	по сравнению	2	2
86	с в	2	2
87	и во	4	2
88	с этим	2	2
89	и все	9	2
90	в одном	7	2
91	к нему	2	2
92	представление о	2	2
93	одном из	2	2
94	для понимания	3	2
95	влияние на	2	2
96	и как	3	2
97	но как	2	2
98	между ними	3	2
99	но именно	3	2
100	и если	2	2
101	не к	2	2
102	меньшей степени	2	2
103	по преимуществу	2	2
104	он не	9	2
105	в его	13	2
106	и этот	2	2
107	в котором	2	2
108	какой бы	2	2
109	в мире	4	2
110	жизни и	4	2
111	вместе с	3	2
112	данном случае	2	2
113	во всей	3	2
114	а в	3	2
115	таким образом	10	2
116	если бы	3	2
117	начиная с	3	2
118	на них	2	2
119	и других	6	2
120	культуры и	7	2
121	ко всему	2	2
122	в значительной	3	2
123	и наконец	3	2
124	же к	2	2
125	в других	3	2
126	на основе	2	2
127	мы видим	5	2
128	в своих	5	2
129	и с	8	2
130	и еще	2	2
131	в этой	3	2
132	в истории	4	2
133	далеко не	2	2
134	в эту	4	2
135	имеет в	2	2
