N	2gram	Nazirov_Vr_1	FransuaR
1	и в	8	41
2	таким образом	2	19
3	в этом	8	15
4	и все	7	14
5	как и	6	14
6	в этой	2	13
7	то же	5	13
8	в его	3	12
9	в том	3	11
10	в себе	2	11
11	все это	4	10
12	в то	5	10
13	и его	3	9
14	же время	5	9
15	но и	7	9
16	и т.п	2	9
17	в своем	3	9
18	что в	7	9
19	в конце	3	8
20	то что	7	8
21	но в	6	8
22	в них	2	7
23	в романе	6	7
24	как бы	4	7
25	в нем	6	7
26	и не	5	7
27	у него	5	6
28	это не	4	6
29	для него	2	6
30	о том	4	6
31	уже в	4	5
32	к этому	3	5
33	не только	9	5
34	в ней	4	5
35	вместе с	2	5
36	в году	18	5
37	и у	3	5
38	а в	2	5
39	так же	4	5
40	точки зрения	2	5
41	и это	2	5
42	место в	2	4
43	но он	3	4
44	в одну	2	4
45	и образы	2	4
46	на место	2	4
47	том что	3	4
48	одна из	2	4
49	может быть	4	4
50	он не	3	4
51	в виду	4	4
52	целый ряд	4	4
53	рядом с	2	4
54	и с	6	4
55	я не	3	3
56	что у	3	3
57	во время	2	3
58	это в	2	3
59	в мире	2	3
60	он был	3	3
61	но это	2	3
62	в своей	2	3
63	в свою	2	3
64	при этом	4	3
65	в это	2	3
66	из них	2	3
67	несмотря на	4	3
68	о нем	6	3
69	что он	4	3
70	не может	2	3
71	не было	5	3
72	в той	2	3
73	с точки	2	3
74	тем что	3	3
75	его в	3	3
76	с его	3	2
77	никогда не	2	2
78	и во	3	2
79	человека в	3	2
80	и ее	2	2
81	и как	3	2
82	отношение к	2	2
83	еще не	2	2
84	а также	2	2
85	же в	2	2
86	в связи	3	2
87	не мог	2	2
88	уже не	2	2
89	и то	2	2
90	их в	2	2
91	что есть	3	2
92	далеко не	3	2
93	года он	3	2
94	в чем	3	2
95	с ним	4	2
