N	2gram	Losev_Prob_1	Marksizm
1	точки зрения	3	34
2	может быть	14	26
3	и не	31	26
4	не может	8	24
5	с точки	3	20
6	и в	32	19
7	и его	3	19
8	таким образом	6	17
9	в этом	19	16
10	как бы	14	15
11	прежде всего	10	13
12	как мы	7	13
13	как и	3	12
14	и пр	4	12
15	так и	12	11
16	если мы	11	11
17	и для	4	11
18	связи с	5	11
19	в самом	6	10
20	в нем	13	10
21	самом деле	6	10
22	для него	2	9
23	в результате	2	9
24	только в	7	9
25	при этом	6	8
26	но и	9	8
27	до сих	3	8
28	не только	17	8
29	то что	42	8
30	сих пор	3	8
31	в связи	4	7
32	все эти	8	7
33	так же	9	7
34	но в	14	7
35	в ее	3	7
36	во всех	7	7
37	то же	10	7
38	а не	15	7
39	в том	9	6
40	кроме того	2	6
41	является не	2	6
42	в науке	2	6
43	в настоящее	3	6
44	другой стороны	3	6
45	и здесь	6	6
46	настоящее время	3	6
47	отнюдь не	10	6
48	того же	3	6
49	в его	6	6
50	и того	2	6
51	мы не	2	6
52	ничего не	10	6
53	с другой	3	5
54	одного и	2	5
55	в конце	6	5
56	именно в	4	5
57	не в	4	5
58	и потому	2	5
59	и все	7	5
60	вовсе не	35	5
61	необходимо чтобы	3	5
62	за пределы	6	5
63	по преимуществу	2	5
64	входит в	4	5
65	того чтобы	9	5
66	хотя бы	3	5
67	во всяком	7	5
68	ничего общего	11	5
69	ясно что	3	5
70	что в	12	4
71	не менее	19	4
72	в отношении	3	4
73	как же	3	4
74	не является	5	4
75	а в	4	4
76	и на	8	4
77	сказать что	13	4
78	чем же	2	4
79	с этим	3	4
80	по себе	15	4
81	еще не	9	4
82	было бы	8	4
83	не будем	2	4
84	нет и	2	4
85	не будет	2	4
86	что же	9	4
87	как в	4	4
88	только на	4	4
89	для того	8	4
90	в данном	9	4
91	далеко не	5	4
92	и есть	6	3
93	здесь в	3	3
94	или иной	5	3
95	можно сказать	5	3
96	в целях	2	3
97	всякий знак	3	3
98	и как	6	3
99	в дальнейшем	4	3
100	но именно	3	3
101	момент в	2	3
102	не имеют	5	3
103	действительности но	4	3
104	в котором	5	3
105	из них	3	3
106	все это	7	3
107	не было	4	3
108	конце концов	4	3
109	того что	7	3
110	не имеет	2	3
111	с другими	2	3
112	между тем	2	3
113	в то	6	3
114	действительности к	2	3
115	же самое	9	3
116	его в	6	3
117	нет ничего	10	3
118	не существует	6	3
119	сознания и	2	3
120	не могут	2	3
121	в каком	3	3
122	этом случае	2	3
123	для всего	2	3
124	том что	12	3
125	и при	2	3
126	мы должны	5	3
127	действительности и	5	3
128	совершенно не	6	3
129	в сущности	2	3
130	общего с	8	3
131	мы говорили	4	3
132	он не	3	3
133	не есть	29	3
134	в первом	2	3
135	в своей	8	3
136	быть и	3	3
137	в истории	4	3
138	на самом	6	3
139	и следовательно	3	3
140	на этот	3	3
141	но все	3	3
142	является в	2	3
143	и ее	8	3
144	знак в	2	3
145	и это	9	3
146	в которой	2	3
147	в области	2	3
148	сама по	4	2
149	же как	2	2
150	в общей	2	2
151	никогда не	7	2
152	тому что	4	2
153	в своем	5	2
154	что все	3	2
155	тем не	18	2
156	ни в	7	2
157	в действительности	3	2
158	его именно	3	2
159	но для	3	2
160	но если	2	2
161	и является	7	2
162	в виду	6	2
163	всяком случае	3	2
164	на этой	2	2
165	и только	4	2
166	значение не	2	2
167	не просто	23	2
168	именно на	3	2
169	действительности в	3	2
170	и даже	11	2
171	должно быть	2	2
172	можно было	3	2
173	же и	3	2
174	из этих	2	2
175	к его	2	2
176	в конкретном	2	2
177	о том	11	2
178	этом смысле	6	2
179	как он	4	2
180	этой действительности	2	2
181	так как	11	2
182	в сознании	5	2
183	и с	2	2
184	нет никакой	2	2
185	для них	2	2
186	если бы	4	2
187	не как	2	2
188	и во	3	2
189	в литературе	4	2
190	что он	7	2
191	конечно в	2	2
192	вот в	2	2
193	в себе	15	2
194	художественный образ	9	2
195	у нас	14	2
196	то в	5	2
197	в качестве	2	2
198	она не	2	2
199	другими словами	3	2
200	мы уже	5	2
201	к тому	3	2
202	ни о	5	2
203	на первый	2	2
204	однако не	3	2
205	или вообще	2	2
206	и сама	2	2
207	как раз	13	2
208	следовательно и	2	2
209	что не	3	2
210	что такое	6	2
211	в таком	9	2
212	или в	4	2
213	или иначе	2	2
214	мы можем	4	2
215	тем что	7	2
216	могут быть	2	2
217	различие в	3	2
218	как знак	2	2
219	и вообще	4	2
220	как оно	3	2
221	таком случае	6	2
222	без всякой	2	2
223	в чем	3	2
