N	2gram	Ircho_Kome_2	Istorich
1	что он	5	24
2	и т	2	19
3	не только	7	18
4	может быть	11	17
5	и в	26	15
6	мы имеем	2	15
7	но и	10	14
8	так как	4	14
9	что в	9	12
10	а в	3	12
11	то что	6	12
12	об этом	2	11
13	в этих	4	11
14	мы знаем	3	11
15	и не	14	11
16	в этом	10	11
17	его в	4	10
18	то же	3	10
19	с тем	5	9
20	еще не	6	9
21	все же	4	9
22	и здесь	6	9
23	потому что	6	9
24	связи с	3	8
25	один из	5	8
26	он не	2	8
27	мы можем	3	8
28	том что	9	7
29	в нем	6	7
30	вместе с	9	7
31	сих пор	2	7
32	таким образом	6	7
33	не в	2	7
34	так что	5	6
35	до сих	2	6
36	что это	4	6
37	наряду с	6	6
38	в его	4	6
39	как бы	2	6
40	то это	2	6
41	что и	7	6
42	и что	2	6
43	в том	11	6
44	только в	4	6
45	но в	3	6
46	и есть	2	5
47	с этим	5	5
48	прежде всего	4	5
49	в одном	2	5
50	к тому	12	5
51	но все	3	5
52	как в	3	5
53	было бы	8	5
54	в котором	3	5
55	так и	12	5
56	что она	2	5
57	не может	3	5
58	в связи	3	5
59	к нему	3	5
60	можно было	4	5
61	представления о	2	5
62	с одной	2	4
63	и другие	2	4
64	в другой	2	4
65	вопрос о	3	4
66	у него	4	4
67	для нас	3	4
68	в этой	3	4
69	в одной	2	4
70	одной из	4	4
71	или на	2	4
72	в ней	3	4
73	у нее	2	4
74	после этого	2	4
75	того как	3	4
76	три года	2	4
77	и с	5	4
78	тем что	3	4
79	и на	7	4
80	молодых людей	4	3
81	в качестве	5	3
82	и его	12	3
83	из этих	4	3
84	он был	2	3
85	как это	4	3
86	одной стороны	2	3
87	в доме	6	3
88	и почему	2	3
89	но если	3	3
90	же можно	2	3
91	о том	6	3
92	отношению к	3	3
93	можно привести	2	3
94	в их	3	3
95	все это	3	3
96	по отношению	3	3
97	так в	2	3
98	после того	2	3
99	роль в	2	3
100	мы не	2	3
101	как будто	4	3
102	как он	3	3
103	и это	2	3
104	в других	2	3
105	уже в	4	2
106	во время	6	2
107	не было	3	2
108	с другой	2	2
109	это не	2	2
110	представление о	2	2
111	в тех	3	2
112	о его	4	2
113	что у	4	2
114	ни в	5	2
115	да и	3	2
116	а затем	5	2
117	отец и	2	2
118	как и	4	2
119	в силу	2	2
120	является не	2	2
121	одна из	2	2
122	но не	3	2
123	возможно что	3	2
124	могла бы	3	2
125	одно из	2	2
126	здесь в	3	2
127	того чтобы	6	2
128	и если	2	2
129	нет необходимости	2	2
130	например в	3	2
131	и для	4	2
132	и дает	2	2
133	хотя бы	2	2
134	также в	2	2
135	из них	7	2
136	или его	2	2
137	во всех	3	2
138	и их	3	2
139	той же	3	2
140	с самого	2	2
141	человека в	3	2
142	тут же	2	2
143	или в	3	2
144	с ними	2	2
145	ст в	2	2
146	также что	2	2
147	и ее	2	2
148	под названием	2	2
149	более поздние	2	2
150	в которой	5	2
151	тому же	11	2
152	в виду	2	2
