N	2gram	Voloshinov_1	slovoVRo
1	и в	38	39
2	может быть	13	37
3	и его	7	33
4	то есть	4	26
5	не только	27	24
6	и не	14	22
7	но и	13	21
8	не может	12	20
9	в нем	4	19
10	все это	4	16
11	в этом	10	16
12	так и	6	15
13	а не	6	14
14	слова в	5	13
15	как в	2	13
16	в процессе	6	13
17	во всех	6	12
18	слово в	2	11
19	вовсе не	2	10
20	к своему	4	9
21	не в	6	9
22	языка и	4	9
23	и с	5	9
24	прежде всего	21	8
25	словом и	3	8
26	себя в	4	8
27	слова и	5	8
28	таким образом	7	8
29	точки зрения	10	8
30	с его	7	7
31	слово как	7	7
32	при этом	9	7
33	для него	3	7
34	еще не	3	7
35	языком и	3	7
36	в его	6	7
37	как бы	28	7
38	никогда не	7	7
39	в этих	2	7
40	и потому	2	7
41	язык и	9	7
42	и даже	3	7
43	как мы	9	7
44	с ним	2	7
45	язык в	6	6
46	и к	4	6
47	этом случае	3	6
48	все же	7	6
49	как и	10	6
50	языка в	2	6
51	но не	2	6
52	значительной степени	2	6
53	жизни и	3	6
54	в значительной	2	6
55	все эти	2	6
56	в слове	3	6
57	так сказать	4	6
58	но в	5	6
59	это не	3	5
60	и для	3	5
61	и все	4	5
62	для нас	3	5
63	том что	3	5
64	но все	4	5
65	или иной	4	5
66	только в	6	5
67	в том	2	5
68	и их	5	5
69	той или	3	5
70	один из	4	5
71	слово и	3	5
72	человека в	2	5
73	уже не	4	5
74	и наконец	5	5
75	конечно не	3	5
76	язык не	3	4
77	же время	7	4
78	зависимости от	5	4
79	связанные с	2	4
80	в зависимости	5	4
81	слова не	2	4
82	в отношении	2	4
83	его не	2	4
84	отношения к	3	4
85	то же	14	4
86	что оно	3	4
87	с помощью	6	4
88	в той	5	4
89	для всех	2	4
90	а в	5	4
91	с другими	2	4
92	и на	6	4
93	в основе	2	4
94	даже и	2	4
95	в то	9	4
96	отношение к	2	4
97	его в	4	4
98	здесь не	2	4
99	так как	7	4
100	или как	6	4
101	перед нами	3	3
102	точку зрения	3	3
103	хотя бы	18	3
104	и от	7	3
105	не с	3	3
106	в свою	6	3
107	что и	3	3
108	даже на	2	3
109	точек зрения	4	3
110	но это	2	3
111	связи с	3	3
112	всех его	2	3
113	и как	9	3
114	слов и	7	3
115	в ней	8	3
116	к нему	2	3
117	связано с	2	3
118	бы и	2	3
119	этом отношении	2	3
120	лишь в	4	3
121	с точки	5	3
122	той же	5	3
123	или даже	2	3
124	сказать что	3	3
125	между тем	3	3
126	речи и	6	3
127	голоса и	2	3
128	как это	5	3
129	уже в	5	2
130	не было	2	2
131	независимо от	5	2
132	ни к	2	2
133	хотя и	3	2
134	однако в	2	2
135	в нашем	5	2
136	его и	3	2
137	речи не	2	2
138	не всегда	2	2
139	как например	2	2
140	как уже	2	2
141	человеческой речи	3	2
142	влияние на	4	2
143	в себе	9	2
144	и здесь	3	2
145	что он	2	2
146	что язык	5	2
147	слова о	3	2
148	в дальнейшем	2	2
149	и слово	3	2
150	свою очередь	4	2
151	нашего сознания	2	2
152	и нет	2	2
153	мы увидим	5	2
154	и само	3	2
155	мы уже	10	2
156	материалом и	2	2
157	точном смысле	2	2
158	слова как	2	2
159	должен быть	2	2
160	но мы	2	2
161	сих пор	2	2
162	на его	5	2
163	мы видели	5	2
164	то что	8	2
165	не знаем	4	2
166	вместе с	5	2
167	те же	4	2
168	на него	4	2
169	в форме	6	2
170	кроме того	2	2
171	в связи	2	2
172	и ни	2	2
173	с этим	2	2
174	смысл его	2	2
175	в точном	2	2
176	еще более	2	2
177	но эта	2	2
178	мы не	9	2
179	и т.п	21	2
180	того чтобы	7	2
181	для того	9	2
182	иметь дело	3	2
183	приходится иметь	2	2
184	роль в	3	2
185	слов в	4	2
186	говорящего и	6	2
187	или в	2	2
188	также и	2	2
189	и при	2	2
190	он не	2	2
191	нуждается в	2	2
192	эти слова	8	2
193	как с	2	2
194	но как	2	2
195	ведь и	2	2
196	не знает	3	2
197	может стать	2	2
198	о том	4	2
199	зрения на	2	2
200	которые в	2	2
201	жестов и	6	2
202	в области	5	2
203	в одном	3	2
