N	2gram	Savitsky_P_1	Myshleni
1	в том	9	28
2	и в	14	28
3	то что	4	28
4	в этом	10	27
5	того что	2	24
6	потому что	3	22
7	не может	4	19
8	том что	4	19
9	только в	7	18
10	что в	4	17
11	в силу	2	17
12	не только	17	16
13	по сравнению	2	15
14	может быть	5	13
15	точки зрения	3	13
16	в сфере	2	12
17	и не	12	11
18	как бы	4	11
19	что мы	3	11
20	в отношении	10	10
21	но и	6	10
22	но не	3	10
23	с точки	3	10
24	было бы	6	9
25	тем самым	3	8
26	для того	3	8
27	если бы	4	7
28	в нем	3	7
29	в своем	4	7
30	и других	2	7
31	заключается в	3	7
32	то же	9	7
33	и к	4	6
34	и как	3	6
35	в то	7	6
36	как раз	2	6
37	мы не	3	6
38	в области	11	6
39	это не	3	5
40	в пределах	8	5
41	и тем	2	5
42	но в	9	5
43	с тем	3	5
44	могут быть	3	5
45	именно в	2	4
46	в частности	2	4
47	не в	5	4
48	переход от	2	4
49	например в	2	4
50	с этим	2	4
51	в качестве	9	4
52	во всех	2	4
53	в себе	3	4
54	есть в	2	3
55	хотя и	3	3
56	как на	2	3
57	в них	2	3
58	по себе	4	3
59	мы должны	4	3
60	в его	2	3
61	а не	2	3
62	отношении к	5	3
63	отношения к	2	3
64	не менее	2	2
65	друг другу	2	2
66	с другой	5	2
67	прежде всего	3	2
68	для нас	2	2
69	в котором	4	2
70	из них	2	2
71	все это	2	2
72	с ними	3	2
73	в которых	5	2
74	сказывается в	2	2
75	в ряду	2	2
76	а в	4	2
77	в значительной	2	2
78	значительной мере	2	2
