N	3gram	Vinokur_St_1	Problema
1	о том что	11	14
2	тем не менее	2	12
3	во всяком случае	6	10
4	в этом случае	2	7
5	и то что	2	7
6	и т д	21	6
7	по крайней мере	2	6
8	так или иначе	2	6
9	в данном случае	6	5
10	с одной стороны	2	5
11	того или иного	4	5
12	с другой стороны	6	5
13	на то что	4	4
14	только в том	3	4
15	до сих пор	7	4
16	в то же	4	4
17	в том что	17	4
18	и в этом	3	3
19	хотя бы и	2	3
20	не может быть	5	3
21	в этой области	5	3
22	но и в	2	3
23	в том числе	2	2
24	том числе и	2	2
25	для того чтобы	10	2
26	то или иное	3	2
27	не имеет ничего	2	2
28	по этому поводу	2	2
29	том что в	3	2
30	в самом деле	5	2
31	вопрос о том	2	2
32	не только в	4	2
33	на эту тему	4	2
34	ничего общего с	3	2
35	можно было бы	8	2
36	может быть и	2	2
37	и в данном	2	2
38	имеет ничего общего	2	2
39	на самом деле	6	2
40	заключается в том	3	2
