N	2gram	Nazirov_Tv_2	VLabPisa
1	таким образом	10	27
2	в этом	8	26
3	и в	20	25
4	и т	13	24
5	творческого процесса	4	22
6	не только	13	22
7	может быть	8	21
8	и не	9	19
9	не может	7	17
10	в его	10	15
11	т д	11	15
12	творческий процесс	3	15
13	в процессе	2	14
14	прежде всего	8	13
15	в том	8	13
16	в частности	2	12
17	все это	6	12
18	с другой	2	11
19	из них	2	11
20	о том	5	10
21	к этому	3	9
22	об этом	4	9
23	что в	7	9
24	для него	3	9
25	и др	3	9
26	но и	8	9
27	то же	7	9
28	т п	2	9
29	по словам	2	8
30	все эти	4	8
31	другой стороны	2	8
32	могут быть	2	8
33	в году	16	7
34	как и	6	7
35	том что	4	7
36	отношению к	3	7
37	вместе с	3	7
38	по отношению	3	7
39	не было	2	7
40	а не	6	7
41	у него	6	6
42	это не	7	6
43	в себе	3	6
44	то что	3	6
45	творческом процессе	4	6
46	том же	2	6
47	в основном	6	6
48	в нем	3	6
49	так и	6	6
50	и его	9	6
51	их в	2	6
52	между тем	3	6
53	в то	10	6
54	думается что	2	5
55	он же	2	5
56	же время	7	5
57	все же	5	5
58	и есть	2	5
59	в искусстве	2	5
60	одним из	3	5
61	как бы	11	5
62	один из	3	5
63	в их	3	5
64	приводит к	2	5
65	действующих лиц	2	5
66	только в	2	5
67	не в	4	5
68	не является	3	5
69	в плане	3	5
70	никогда не	11	4
71	в одном	2	4
72	в целом	6	4
73	что он	6	4
74	в ее	2	4
75	в романе	15	4
76	одна из	3	4
77	в своей	6	4
78	в самом	3	4
79	когда он	4	4
80	рассказывает о	3	4
81	в статье	2	4
82	в творческой	2	4
83	с ними	2	4
84	в этой	5	4
85	познания и	2	4
86	января года	4	3
87	и ее	2	3
88	и от	4	3
89	в конце	6	3
90	человека и	3	3
91	одном из	2	3
92	у нас	2	3
93	что они	4	3
94	в творчестве	5	3
95	как о	2	3
96	что не	3	3
97	например в	5	3
98	у тургенева	2	3
99	и он	2	3
100	в котором	3	3
101	нет и	2	3
102	его в	3	3
103	него в	2	3
104	именно в	6	3
105	этот вопрос	3	3
106	сводится к	2	3
107	и по	2	3
108	так же	5	3
109	в которых	3	3
110	в дневнике	3	3
111	не менее	2	2
112	в творческом	5	2
113	он сам	3	2
114	зависит от	2	2
115	я бы	3	2
116	сюжета и	2	2
117	по крайней	2	2
118	у пушкина	3	2
119	своих героев	3	2
120	вовсе не	2	2
121	роль в	2	2
122	показывает что	4	2
123	крайней мере	2	2
124	что его	2	2
125	а затем	3	2
126	ли не	2	2
127	до сих	3	2
128	и потому	4	2
129	но не	5	2
130	как у	3	2
131	как известно	2	2
132	так например	3	2
133	в пользу	3	2
134	еще не	5	2
135	одной из	3	2
136	если бы	4	2
137	апреля года	3	2
138	что она	4	2
139	и даже	5	2
140	всяком случае	2	2
141	отнюдь не	4	2
142	идеи в	2	2
143	при помощи	2	2
144	сих пор	3	2
145	и достоевский	4	2
146	бы не	2	2
147	а в	4	2
148	начиная с	2	2
149	и через	3	2
150	достоевского и	2	2
151	человека в	3	2
152	художников в	2	2
153	года и	4	2
154	с другими	2	2
155	в своих	3	2
156	или наконец	2	2
157	не столько	2	2
158	июля года	2	2
159	во всяком	2	2
160	хотя и	4	2
161	идей в	7	2
162	говорил что	2	2
163	он не	3	2
164	марта года	4	2
165	говорить о	2	2
166	в образе	3	2
167	в чем	4	2
168	в которой	2	2
169	же как	3	2
170	но в	4	2
171	братьев карамазовых	4	2
