N	3gram	Vygotskiy__4	Problema
1	то же самое	7	9
2	в данном случае	2	8
3	на то что	4	8
4	для того чтобы	5	8
5	содержит в себе	2	7
6	в этом смысле	8	6
7	о том что	3	5
8	в том что	31	5
9	точно так же	3	4
10	в связи с	3	4
11	с точки зрения	11	3
12	в настоящее время	2	3
13	с другой стороны	8	3
14	не только не	5	3
15	и тем самым	4	3
16	во всяком случае	3	3
17	именно то что	2	3
18	и того же	5	2
19	можно было бы	5	2
20	так же как	5	2
21	в самом деле	6	2
22	одного и того	5	2
23	в этом случае	3	2
24	подобно тому как	2	2
25	с тем что	3	2
26	и то что	4	2
27	в этой области	2	2
28	и что в	2	2
29	как это мы	2	2
