N	2gram	Losev_Prob_4	StatiiOP
1	и в	20	29
2	том что	12	27
3	в том	20	27
4	в этом	9	21
5	но и	14	19
6	что в	3	19
7	не только	24	19
8	о том	5	17
9	что он	8	13
10	в его	3	13
11	у пушкина	3	12
12	между прочим	3	12
13	то что	15	11
14	все это	9	11
15	в которой	2	11
16	к тому	3	10
17	таким образом	8	10
18	в своем	3	9
19	и т	4	9
20	так и	10	9
21	и не	28	9
22	потому что	15	9
23	он не	2	9
24	как раз	4	8
25	но в	8	8
26	но все	3	7
27	с тем	4	7
28	в самом	2	7
29	в ней	7	7
30	в виду	6	7
31	в котором	2	7
32	в своей	4	7
33	вместе с	5	7
34	для того	3	7
35	об этом	6	6
36	в одном	4	6
37	вовсе не	21	6
38	все же	2	6
39	т д	3	6
40	и что	2	6
41	того чтобы	2	6
42	и его	10	6
43	и на	3	6
44	прежде всего	11	5
45	была бы	2	5
46	в той	8	5
47	в качестве	10	5
48	было бы	14	5
49	как бы	4	5
50	а не	7	5
51	точки зрения	14	5
52	времени и	4	4
53	до того	2	4
54	именно в	7	4
55	в частности	2	4
56	с другой	7	4
57	не в	13	4
58	для него	3	4
59	кроме того	4	4
60	и к	3	4
61	и о	5	4
62	хотя и	5	4
63	в нем	5	4
64	дело в	2	4
65	еще более	2	4
66	при помощи	10	4
67	в другом	3	4
68	связи с	3	4
69	и с	7	4
70	в известном	2	3
71	не менее	10	3
72	что это	2	3
73	в этих	5	3
74	не является	10	3
75	вообще не	3	3
76	с этим	4	3
77	по себе	11	3
78	ни в	17	3
79	тому же	2	3
80	у нас	14	3
81	меньше всего	3	3
82	так что	6	3
83	но это	6	3
84	в начале	3	3
85	но не	5	3
86	кажется что	2	3
87	одной из	4	3
88	в обоих	2	3
89	у меня	2	3
90	и даже	9	3
91	всяком случае	4	3
92	из них	3	3
93	другой стороны	6	3
94	самом деле	3	3
95	как в	5	3
96	не было	3	3
97	еще и	3	3
98	тем что	3	3
99	на самом	5	3
100	и он	2	3
101	и по	2	3
102	хотя бы	7	3
103	другое дело	2	3
104	так же	5	3
105	во всяком	8	3
106	xix века	2	3
107	не то	2	3
108	в отношении	4	2
109	но они	2	2
110	с его	2	2
111	ни было	2	2
112	и более	3	2
113	только не	4	2
114	если бы	8	2
115	по этому	2	2
116	в них	5	2
117	в какой	4	2
118	если не	3	2
119	в конце	2	2
120	не раз	2	2
121	меня в	2	2
122	что именно	2	2
123	что и	3	2
124	к своему	2	2
125	о которых	2	2
126	тем не	10	2
127	он был	3	2
128	в ее	5	2
129	говорит о	2	2
130	как и	6	2
131	и как	3	2
132	лучше сказать	2	2
133	в этой	4	2
134	что они	2	2
135	в истории	3	2
136	в то	4	2
137	по своему	6	2
138	случае не	5	2
139	в это	2	2
140	несмотря на	4	2
141	на его	2	2
142	такого рода	7	2
143	может быть	9	2
144	только к	3	2
145	никак не	4	2
146	и потому	7	2
147	а также	6	2
148	нет никакого	3	2
149	нет и	2	2
150	сами по	2	2
151	только в	23	2
152	не могли	2	2
153	не к	2	2
154	также и	13	2
155	ни с	4	2
156	дело не	3	2
157	или менее	2	2
158	только что	2	2
159	совершенно не	3	2
160	не может	5	2
161	свидетельствуют о	2	2
162	то же	7	2
163	все эти	16	2
164	при этом	6	2
165	более или	2	2
166	в значительной	2	2
167	не имеет	4	2
168	с точки	11	2
169	в данном	6	2
170	в результате	8	2
171	сказать что	7	2
172	в каком	6	2
173	в себе	12	2
174	и вообще	6	2
175	сравнении с	2	2
176	его в	2	2
177	и это	2	2
178	том смысле	2	2
179	так как	5	2
180	как это	3	2
181	того же	2	2
182	в области	3	2
183	это было	2	2
