N	2gram	Vinokur_St_1	Problemy
1	и в	44	46
2	то есть	2	40
3	и не	16	27
4	может быть	15	23
5	как бы	4	19
6	не может	8	19
7	в нем	5	17
8	в этом	21	16
9	не только	18	14
10	но и	10	12
11	как и	9	12
12	точки зрения	11	11
13	а не	16	11
14	не в	12	10
15	прежде всего	7	9
16	в том	36	9
17	в самом	7	9
18	и все	2	9
19	вовсе не	19	9
20	в его	9	9
21	с точки	8	9
22	до сих	7	8
23	конечно не	2	8
24	сих пор	7	8
25	и с	3	7
26	еще не	3	7
27	в сущности	2	7
28	как раз	4	7
29	в себе	2	7
30	никогда не	5	6
31	в каждом	3	6
32	ни в	3	6
33	но это	6	6
34	есть в	2	6
35	но в	10	6
36	на свой	2	6
37	что он	10	6
38	то же	5	6
39	все это	5	6
40	и его	8	6
41	только в	10	6
42	это не	8	5
43	же время	4	5
44	при этом	2	5
45	и сам	2	5
46	в котором	5	5
47	к нему	2	5
48	жизни и	5	5
49	по отношению	3	5
50	мы находим	4	5
51	ведь и	3	5
52	в то	9	5
53	так как	5	5
54	у него	2	5
55	это слово	4	5
56	за пределы	2	5
57	о том	17	5
58	отношению к	3	5
59	во всех	8	5
60	том числе	2	4
61	уже в	2	4
62	что в	30	4
63	в этих	2	4
64	очень часто	3	4
65	да и	3	4
66	например в	8	4
67	таким образом	7	4
68	еще и	2	4
69	все эти	5	4
70	потому что	6	4
71	же и	4	4
72	мы не	2	4
73	не знает	2	4
74	превращается в	2	4
75	как в	13	4
76	этих двух	3	4
77	том что	29	4
78	но не	3	4
79	совершенно не	5	4
80	он не	2	4
81	все же	8	4
82	то что	18	4
83	своего рода	3	4
84	так и	9	4
85	самом деле	11	4
86	в отношении	9	3
87	с другой	9	3
88	из этих	6	3
89	на то	4	3
90	такой же	5	3
91	в своем	2	3
92	числе и	2	3
93	но для	2	3
94	но если	4	3
95	то это	3	3
96	и для	3	3
97	отношение к	2	3
98	и их	2	3
99	другой стороны	7	3
100	так же	5	3
101	и только	3	3
102	и даже	5	3
103	конечно и	3	3
104	также и	9	3
105	но он	2	3
106	в конце	3	3
107	их в	2	3
108	мы имеем	2	3
109	чем у	2	3
110	если бы	9	3
111	и во	2	3
112	по существу	2	3
113	по своей	2	3
114	а то	2	3
115	того же	3	3
116	и что	4	3
117	она не	2	3
118	но именно	2	3
119	было бы	17	3
120	кажется что	3	3
121	в своей	6	3
122	что и	6	3
123	на него	2	3
124	что же	6	3
125	еще более	4	3
126	в той	6	3
127	тем же	3	3
128	той же	5	3
129	в слове	5	3
130	тем что	5	3
131	в этой	11	3
132	и это	2	3
133	дело в	6	3
134	не менее	5	2
135	но на	2	2
136	должна быть	3	2
137	для этого	2	2
138	вопрос о	4	2
139	все в	2	2
140	для нас	7	2
141	без всякого	2	2
142	не при	5	2
143	так что	6	2
144	но все	4	2
145	же как	3	2
146	для него	6	2
147	если в	2	2
148	и тем	3	2
149	в первой	12	2
150	целый ряд	2	2
151	языка и	4	2
152	отношения к	2	2
153	в других	2	2
154	не было	4	2
155	лишь в	3	2
156	свое время	2	2
157	и по	5	2
158	а в	17	2
159	в которых	5	2
160	в результате	3	2
161	сказать что	7	2
162	и так	3	2
163	о котором	2	2
164	что мы	5	2
165	могло бы	2	2
166	между тем	3	2
167	что так	3	2
168	а как	2	2
169	с этим	3	2
170	у пушкина	8	2
171	не хочет	2	2
172	но с	3	2
173	раз в	2	2
174	у нас	11	2
175	об этом	3	2
176	в свое	2	2
177	но ведь	8	2
178	этого слова	2	2
179	бы и	4	2
180	это вовсе	2	2
181	бы не	2	2
182	на этот	3	2
183	хотя бы	6	2
184	не была	2	2
185	можно было	13	2
186	ничего не	2	2
187	в данном	14	2
188	этот вопрос	4	2
189	во всяком	6	2
190	от этого	2	2
191	могут быть	5	2
192	в другом	3	2
193	которые в	2	2
194	там где	5	2
