N	3gram	Vygotskiy__3	KulturaY
1	в том что	17	10
2	можно было бы	5	9
3	для того чтобы	7	8
4	с другой стороны	3	7
5	то обстоятельство что	3	7
6	только потому что	2	6
7	во всяком случае	4	5
8	само по себе	2	5
9	в этом смысле	2	5
10	тем не менее	5	5
11	в зависимости от	5	4
12	не может быть	2	4
13	в этом отношении	3	3
14	в связи с	5	3
15	на то что	3	2
16	в отличие от	6	2
17	так же как	6	2
18	с этой точки	2	2
19	в свою очередь	2	2
20	этой точки зрения	2	2
21	вместе с тем	10	2
22	того или иного	2	2
23	только в том	2	2
