N	2gram	Berdyaev_O_1	FransuaR
1	и в	19	29
2	и не	13	16
3	и все	10	13
4	в этой	5	13
5	как и	6	12
6	но в	2	12
7	так и	2	11
8	и на	2	11
9	в этом	12	11
10	не только	11	10
11	но и	13	9
12	все эти	4	9
13	и с	2	9
14	его в	2	9
15	прежде всего	9	8
16	в его	7	8
17	и его	4	8
18	как бы	3	8
19	в том	5	7
20	так как	2	7
21	но он	7	6
22	у него	22	5
23	это не	3	5
24	до конца	7	5
25	и о	2	5
26	в нем	10	5
27	в своей	2	5
28	сказать что	2	5
29	с его	4	4
30	что он	3	4
31	еще не	3	4
32	и есть	3	4
33	которую он	2	4
34	то что	5	4
35	все это	6	4
36	тем что	2	4
37	в которой	2	4
38	в своем	2	3
39	что у	2	3
40	в ее	2	3
41	все же	2	3
42	том что	2	3
43	ведь это	2	3
44	того что	3	3
45	он не	7	3
46	к нему	3	3
47	как к	2	3
48	и вот	3	3
49	того чтобы	4	3
50	для того	3	3
51	в себе	3	3
52	уже в	2	2
53	к этому	2	2
54	в этих	3	2
55	жизни в	2	2
56	быть может	3	2
57	и к	2	2
58	о его	5	2
59	все в	4	2
60	он был	8	2
61	что они	2	2
62	не может	4	2
63	может быть	11	2
64	хотя и	2	2
65	никогда не	9	2
66	этом он	2	2
67	и для	2	2
68	ни с	7	2
69	в других	2	2
70	о природе	3	2
71	был еще	2	2
72	в своих	3	2
73	и то	2	2
74	даже и	2	2
75	о том	3	2
76	нет ничего	7	2
77	и этим	2	2
78	с ним	3	2
