N	2gram	Bakhtin_sl_2	Myslijsy
1	то есть	26	42
2	и в	39	39
3	в языке	2	33
4	может быть	37	27
5	в том	5	26
6	только в	5	25
7	что в	3	22
8	не может	20	22
9	а не	14	21
10	так как	4	21
11	не только	24	21
12	в нем	19	20
13	но и	21	20
14	и не	22	18
15	языка и	9	17
16	что язык	2	16
17	том что	5	16
18	не в	9	15
19	в этом	16	15
20	отношению к	4	13
21	так и	15	13
22	по отношению	4	13
23	в себе	2	13
24	таким образом	8	13
25	и язык	4	11
26	мы не	2	10
27	по себе	5	10
28	то что	2	10
29	как в	13	10
30	речи и	3	10
31	могут быть	7	9
32	для нас	5	9
33	как и	6	9
34	тогда когда	2	9
35	но в	6	9
36	в одном	2	8
37	но не	6	8
38	вместе с	2	8
39	язык в	6	8
40	в слове	6	8
41	точки зрения	8	8
42	с другой	5	7
43	язык как	3	7
44	в ней	3	7
45	в истории	11	7
46	с этим	2	7
47	это не	5	7
48	в этих	7	7
49	не менее	4	6
50	независимо от	2	6
51	языка с	2	6
52	и как	3	6
53	еще не	7	6
54	как бы	7	6
55	что и	3	6
56	все же	6	6
57	и т	35	6
58	то же	4	6
59	при этом	7	6
60	языка в	6	6
61	того как	2	6
62	для всех	4	5
63	из себя	3	5
64	язык не	4	5
65	языка не	4	5
66	вовсе не	10	5
67	языка как	7	5
68	но это	3	5
69	и потому	7	5
70	в его	7	5
71	во всех	12	5
72	а в	4	5
73	и для	5	5
74	и его	33	5
75	в таком	4	5
76	между тем	3	5
77	язык и	7	5
78	не могут	5	4
79	никогда не	7	4
80	однако в	2	4
81	и воля	2	4
82	прежде всего	8	4
83	в свою	3	4
84	в смысле	4	4
85	мы видели	2	4
86	от него	5	4
87	свою очередь	2	4
88	же время	4	4
89	для него	7	4
90	слов и	3	4
91	языка то	3	4
92	т п	33	4
93	т д	2	4
94	не было	2	4
95	и других	4	4
96	и даже	7	4
97	в более	2	4
98	и языка	4	4
99	во всем	4	4
100	в то	4	4
101	слова и	8	4
102	там где	6	4
103	сама по	3	3
104	в них	6	3
105	оно не	8	3
106	и от	3	3
107	со словом	5	3
108	в своем	6	3
109	мы увидим	2	3
110	она не	6	3
111	одной стороны	5	3
112	и их	5	3
113	но оно	2	3
114	для того	2	3
115	связи с	3	3
116	на него	2	3
117	с одной	5	3
118	той же	3	3
119	или даже	3	3
120	с ним	7	3
121	должна быть	3	3
122	языка но	4	3
123	сказать что	3	3
124	во всяком	3	3
125	хотя и	2	3
126	он не	2	3
127	и при	2	3
128	с точки	3	3
129	и все	5	3
130	языка а	5	3
131	она может	2	3
132	и с	9	3
133	но как	2	3
134	слова в	13	2
135	и более	2	2
136	от нас	2	2
137	все они	2	2
138	нуждается в	2	2
139	но он	2	2
140	эти формы	4	2
141	как например	2	2
142	в собственном	3	2
143	стороны и	3	2
144	становится объектом	2	2
145	как мы	7	2
146	жизни и	6	2
147	уже не	5	2
148	но все	5	2
149	чем в	2	2
150	все что	2	2
151	этого языка	4	2
152	и слова	5	2
153	того чтобы	2	2
154	в сущности	6	2
155	значительной степени	6	2
156	за пределы	2	2
157	как предмет	4	2
158	словом и	8	2
159	одним из	2	2
160	к ней	2	2
161	языке в	2	2
162	не все	2	2
163	с ее	2	2
164	слова не	4	2
165	в их	2	2
166	для этого	4	2
167	своего языка	4	2
168	что оно	4	2
169	еще более	2	2
170	в одно	2	2
171	или в	2	2
172	хотя бы	3	2
173	даже и	4	2
174	влияние на	2	2
175	с языком	2	2
176	к новому	3	2
177	язык но	3	2
178	одним словом	2	2
179	о том	2	2
180	дело в	2	2
181	бы только	2	2
182	так сказать	6	2
183	из него	2	2
