N	2gram	Propp_Isto_6	Psycholo
1	то что	6	32
2	и в	26	31
3	в том	12	30
4	и т	10	26
5	что в	12	23
6	может быть	11	22
7	таким образом	12	20
8	при помощи	3	20
9	при этом	3	19
10	совершенно ясно	4	19
11	так как	18	18
12	не может	6	17
13	как и	5	16
14	том что	10	16
15	и не	10	16
16	только в	5	14
17	а не	2	13
18	не только	10	13
19	что и	4	13
20	так же	2	12
21	мы не	6	12
22	в этом	12	12
23	могут быть	3	11
24	не в	3	11
25	на то	2	10
26	того что	2	10
27	потому что	13	10
28	ни в	2	9
29	как в	6	9
30	никогда не	13	8
31	вместе с	8	8
32	т д	8	8
33	и что	5	8
34	во всяком	2	8
35	что мы	2	8
36	что он	9	7
37	и его	7	7
38	сказать что	3	7
39	о том	7	7
40	что это	2	6
41	вовсе не	2	6
42	зависимости от	2	6
43	одной стороны	7	6
44	было бы	2	6
45	если бы	3	6
46	из этих	4	6
47	всяком случае	2	6
48	целый ряд	2	6
49	а в	3	6
50	совершенно точно	2	6
51	что она	3	6
52	в его	5	6
53	показывает что	3	5
54	все же	8	5
55	так что	3	5
56	мы видим	5	5
57	с одной	7	5
58	то время	3	5
59	для нас	2	5
60	она не	3	5
61	как бы	4	5
62	другой стороны	8	5
63	то же	5	5
64	с другой	10	5
65	время как	3	5
66	в то	5	5
67	как будто	3	5
68	утверждать что	2	5
69	к тому	2	4
70	все время	2	4
71	и другие	3	4
72	прежде всего	4	4
73	очень часто	5	4
74	в себе	3	4
75	же как	3	4
76	одна из	2	4
77	у него	7	4
78	у нас	5	4
79	один из	3	4
80	в этих	2	4
81	со стороны	3	4
82	к этому	3	4
83	в своих	3	4
84	с этой	2	4
85	мы можем	7	4
86	там где	5	4
87	как это	5	4
88	мы имеем	14	4
89	как на	3	3
90	с тем	4	3
91	в частности	3	3
92	в своем	2	3
93	что у	2	3
94	та же	3	3
95	точно так	2	3
96	представление о	9	3
97	должна быть	3	3
98	вопрос о	3	3
99	стороны и	2	3
100	мы знаем	2	3
101	но это	4	3
102	не будет	5	3
103	но не	2	3
104	все что	4	3
105	из его	2	3
106	до сих	4	3
107	из которых	3	3
108	например в	7	3
109	в этой	2	3
110	он не	2	3
111	общественного развития	2	3
112	но мы	2	3
113	сих пор	4	3
114	не есть	2	3
115	жизни и	2	3
116	в своей	3	3
117	так и	5	3
118	что при	2	3
119	не было	3	3
120	что оно	4	3
121	и других	3	3
122	от того	3	3
123	и вот	3	3
124	должны быть	2	3
125	и по	4	3
126	почти всегда	3	3
127	в которых	2	3
128	в одной	2	3
129	и только	3	3
130	с этим	2	3
131	что эти	2	3
132	и это	8	3
133	когда мы	2	3
134	но в	7	3
135	т е	22	3
136	такой же	3	2
137	или иное	3	2
138	в книге	4	2
139	видели что	3	2
140	независимо от	3	2
141	главным образом	3	2
142	и как	2	2
143	и там	6	2
144	в них	3	2
145	не означает	2	2
146	и от	3	2
147	не всегда	4	2
148	с ним	8	2
149	на место	3	2
150	там же	3	2
151	она в	2	2
152	мы найдем	2	2
153	уже не	7	2
154	и сейчас	2	2
155	представляет собой	2	2
156	что они	2	2
157	что здесь	3	2
158	в качестве	3	2
159	того же	2	2
160	это мы	2	2
161	о чем	2	2
162	него в	2	2
163	большей частью	2	2
164	далеко не	3	2
165	в него	3	2
166	на эти	2	2
167	даже в	2	2
168	и тем	4	2
169	в нем	8	2
170	мы видели	11	2
171	когда он	3	2
172	но и	9	2
173	что же	2	2
174	как мы	4	2
175	только что	2	2
176	отличается от	2	2
177	то и	2	2
178	тем самым	2	2
179	то или	2	2
180	от него	3	2
181	его не	2	2
182	увидим что	2	2
183	отметить что	2	2
184	ничего не	2	2
185	их в	3	2
186	и с	6	2
187	приходит к	3	2
188	но как	4	2
189	и то	3	2
190	ту же	2	2
191	его в	5	2
192	как он	6	2
193	из этого	3	2
194	только то	2	2
195	в одном	3	2
196	или как	2	2
