N	2gram	Tiupa_Hudo_1	Tvorches
1	и в	14	21
2	как бы	7	17
3	в то	8	15
4	в его	8	13
5	то же	9	13
6	что в	6	12
7	как и	9	12
8	же время	8	12
9	с его	5	11
10	том что	16	11
11	м м	3	11
12	все это	2	10
13	как в	8	8
14	он не	4	8
15	то что	8	8
16	у него	9	7
17	в том	12	7
18	при этом	12	7
19	не только	12	7
20	и не	2	7
21	и на	3	7
22	но в	5	7
23	что он	9	6
24	жизни в	6	6
25	и все	4	6
26	не менее	5	6
27	м бахтин	2	6
28	для него	10	6
29	человека в	6	6
30	а в	7	6
31	и его	5	6
32	в этом	11	6
33	о том	12	6
34	в творчестве	3	6
35	отнюдь не	3	5
36	по нашему	2	5
37	а не	12	5
38	может быть	5	5
39	в этой	8	5
40	все же	3	5
41	в своих	3	5
42	потому что	5	5
43	как будто	4	5
44	только в	5	5
45	в русской	4	5
46	в человеке	2	4
47	в своем	4	4
48	та же	4	4
49	больше не	2	4
50	прежде всего	11	4
51	в мире	3	4
52	в целом	2	4
53	конечном счете	2	4
54	одной из	2	4
55	не имеют	3	4
56	в конечном	2	4
57	один из	4	4
58	своего рода	7	4
59	в своей	10	4
60	русской литературе	3	4
61	не может	7	4
62	это не	7	4
63	не случайно	7	4
64	и от	4	4
65	в финале	3	4
66	никогда не	6	3
67	своих героев	2	3
68	это в	3	3
69	с ним	4	3
70	с ее	2	3
71	что я	2	3
72	но не	3	3
73	на его	2	3
74	в самом	4	3
75	той же	2	3
76	авторской позиции	2	3
77	даже в	3	3
78	этой книги	2	3
79	в нем	3	3
80	и т	11	3
81	жизни и	5	3
82	но и	5	3
83	в их	2	3
84	уже не	7	3
85	по мнению	5	3
86	на самом	2	3
87	там же	2	3
88	того что	4	3
89	и даже	3	3
90	и по	3	3
91	и с	4	3
92	хотя и	2	3
93	человеческих отношений	5	3
94	в рассказе	11	3
95	я и	2	3
96	такой же	3	2
97	перед нами	5	2
98	личности и	2	2
99	в частности	5	2
100	однако в	2	2
101	в этих	5	2
102	на том	2	2
103	в качестве	9	2
104	эти слова	2	2
105	в лице	3	2
106	не столько	2	2
107	личности в	7	2
108	в литературе	3	2
109	можно сказать	4	2
110	влияние на	2	2
111	человека его	2	2
112	об этом	5	2
113	так что	2	2
114	не в	7	2
115	то в	4	2
116	героев в	2	2
117	быть может	7	2
118	одна из	2	2
119	не нужно	2	2
120	до конца	2	2
121	из них	4	2
122	в первой	6	2
123	к тому	7	2
124	только на	2	2
125	по преимуществу	3	2
126	живет в	2	2
127	в одной	2	2
128	в ней	4	2
129	и когда	3	2
130	в него	2	2
131	если в	2	2
132	тем не	4	2
133	в духе	4	2
134	еще в	3	2
135	своего я	3	2
136	во второй	5	2
137	к жизни	5	2
138	так и	13	2
139	ф м	3	2
140	этой связи	4	2
141	приводит к	3	2
142	как к	3	2
143	именно в	7	2
144	одновременно и	5	2
145	в себя	2	2
146	что она	4	2
147	не означает	2	2
148	самом деле	5	2
149	что не	2	2
150	и он	5	2
151	только что	4	2
152	но он	3	2
153	в себе	11	2
154	т п	8	2
155	о котором	2	2
156	не знает	2	2
157	героя и	5	2
158	так сказать	2	2
